id,text,hate_speech,casteism,religous_incitement,political_defamation,cyberbullying,severity
24,"धेरै माया छ Sudan Gurung जी र सधैं रहने पनि छ हजुर को निणर्य हाम्लाई accept छ 
देशको नियम भन्दा माथि कोहि पनि छैन यो सब कुराहरू लाई स्वीकार गर्न पनि एउटा सुन्दर मन
 चाहिन्छ so proud  iam waiting for you respect person",0,0,0,0,0,1
25,"कपटपूर्ण अन्तर्वार्ताको उत्तर ! आज रास्वपाको नेता, सांसद नमुछिएको भए यतिबेला देशमा 
आगो बल्थ्यो! हिजो ओलि र लेखक चाही कुन निकायले अनुसन्धान गरेर पक्राउ गरेका थियौ? 
मात्रै कार्की आयोगको प्रतिवेदन होइन र?",0,0,0,1,0,2
26,तेरो खरानी चोर फटाहा,1,0,0,1,1,4
27,चाेर हरामि,1,0,0,0,1,4
28,यो खाते चोर नै हो,0,0,0,0,1,4
29,"भदौ २३ गते जेन-जि बालबालिकालाई टाउको र छाती मा ताकि ताकी गोलि हानेर मार्न आदेश
 दिने तत्कालीन सरकारलाई अनुसन्धान र कारबाही नहुने हो ? कि ७६ जना जेन-जि बालबालिका 
मारेको मा खुशी छ ? कि भ्रष्टाचारि हत्यारा एमाले र कांग्रेसको हत्यारा भ्रष्टाचारि नेताहरुलाई 
छानीछानी ७६ जनालाई मार्दियो भने कारबाही नगरी छोड्दिने हो ? के तरबार बोकेर जनता बाहिर
 निस्कनु पर्ने हो ? मान्छे मारेको ठूलो घट्ना होकि घर जलेको ठूलो घट्ना हो ? २३ गतेको नरसंहारको
 ढाकछोप गर्न २४ गते एमाले, कांग्रेस, माओवादी को नेता तथा कार्यकर्ता हरु सिंहदरबार, सर्बोच्च
 अदालत जस्ता राज्यको सम्पती जलाउन निस्केको थियो । राज्यको सम्पति र नेता हरुको घर
 जल्नमा यो ३ पार्टी को नै हातछ । यो ३ पार्टी मा देखिएको असन्तुष्ट कार्यकर्ताले नै हो मौकामा
 चौका हानेर आफ्नो पार्टीको नेताहरुको घर जलाएको हो ।",0,0,0,1,0,3
30,"प्रधानमन्त्री र अर्थमन्त्रीले देश कायापलट गर्ने बजेट ल्याउँदै, इतिहासकै सबैभन्दा बढी बजेट आउने",0,0,0,0,0,1
31,Good हामी सचेत जनता हुँ भन्दा भन्दै हामी पनि बिस्तारै झोले बन्दै गइरहेको पत्तै पाइरहेको छैन,0,0,0,0,0,1
32,"यो भिडियो हेर्दा पहिलो पटक कुनै पहाड समुदायको व्यक्तिले आफ्नो मन देखि नै हामी मधेसी 
लाइ सम्मान गरेको हो जस्तो महसुस भयो tq for making this type of video",0,0,0,0,0,1
33,"We, as Madhesis, need to take a loud stand for fellow Madhesis and 
other Nepali cultures, traditions and tribes. Not India. Period",0,0,0,0,0,2
34,"Madhesi ta madhesi nai ho, kei garna sakidaina yiniharulai",1,1,0,0,0,5
35,yo nepal bahun ko matra hora? ke hami manxe hainau?,1,1,0,0,0,3
36,tero bau,0,0,0,0,1,5
37,Proud to be Madhesi,0,0,0,0,0,1
38,"yo purano naya naya sab kura ho, kasaiko kei kam xaina",0,0,0,1,0,3
39,muslim jati sab lai desh nikala garnu parxa,1,0,1,0,0,5
40,yo ghante gang lai kei bhanna hudaina mardinxan,0,0,0,1,0,4
41,"I studied catholic school in koteshwor and I am proud to be sanatani. 
No religion is beautiful than hinduism, buddhism and kirati religions.",0,0,1,0,0,2
42,अाफ्नो धर्म नमास है मनुवाहरू पछि तिम्रै सन्तानले थुक्नेछन,0,1,0,0,0,3
43,Mugii bhahun,0,1,0,0,0,5
44,"Religion should not matter—whether someone is Hindu or belongs to any
 other religion, strict punishment should be given for such incidents.",0,0,0,0,0,1
45,लाज का पोका हरु! !,0,0,0,0,0,2
46,म हिन्दु हु यसमा मलाई गर्ब लाग्छ।जय नेपाल,0,0,0,0,0,1
47,"जनताको सेवा गर्न गएका हैनौ, तलबभत्ता लिन बन्द गर उसोभए। आखिर सबै करडौका मालिक छौ त।",0,0,0,1,0,2
48,"पुरानो दल लाई गाली गरेर उदाएको खराने ग्याङका संसद हरु झन् बादर लखट्ने झै मात्रै छन्।
तमासा पैला भन्दा ज्यादा देखिदै छ जे होस भत्ता सत्ता पचाउ देश लाई अझै खोक्रो बनाउ भोट हाल्ने 
हामी भेडा जनता छदै छौ।",0,0,0,1,0,3
49,"अब जुन दिन काम हुन्छ त्यही दिन मात्र भत्ता पाउने कानुन बनाउनु पर्छ नाइ भने नेपाली
 जनताले तिरेको कर खेर जान्छ।",0,0,0,0,0,1
50,"timi jela kahile jani abo navaya abo feri aago lagaii deau ani jaunu pradaeena 
meeting ma",0,0,0,0,1,3
51,इद मुबारक कमरेड,0,0,0,0,0,1
52,"यी आतंकवादीहरूको उदय जति सजिलो भयो, अन्त्य त्यति नै भयावह हुनेछ।",0,0,0,1,0,4
53,"पार्टीको ट्रेड युनियन नेपालमा कुनै औचित्य छैन।काम नगर्ने अवसर खोज्ने व्यवसायलाई दुःख 
दिने यस्तै झुण्डहरूले गर्दा देश विकास नभएको",0,0,0,1,0,3
54,Sala thag haruko jatha bhela vayexan lootera khane bani Jo pareko xa,1,0,0,0,1,3
55,"""मैले गो'ली हा'न्न आदेश दिएको छैन"" भन्दैमा केपी ओलीले उन्मुक्ति नपाउने",0,0,0,1,0,2
56,रातीको १२ बजे रबी दाइको बेडरुम मा गएर अन्तिम इच्छा सोध्दा कहाँ गएको थियो मानाव अधिकार ?,0,0,0,0,1,2
57,Sansad bighathan garnu parxa bhanne yehi pradhanmantri hoina ra,0,0,0,1,0,2
58,Singha durbar aago lagauxu bhanne yehi chor hoina kasto report nikale ko yo,0,0,0,1,0,4
59,यस्ता रास्वपाका खराने साम्सदलाइ कारवाही हुनै पर्छ,0,0,0,1,0,4
60,जन्म दिनको शुभ उपलक्ष्यमा हार्दिक मंगलमय शुभकामना छ सम्धिनी ज्यूलाई,0,0,0,0,0,1
61,अनि जिबि राई खोइत ???,0,0,0,0,0,1
62,ऐस्ता अराजक लाई हाल्दे सरकार जिन्दगी भर लाइ,1,0,0,1,0,4
63,Tyo Ramesh prasai bhanni dai Nepal ma bhaye g.b Rai samatxau bhani guff dinthye ta. Yesta sano sano case ma ta red notice jari garayera samatna vyaye xan ta,1,0,0,0,0,3
64,ठ्गेको लुटेको पैसा सबै फिर्ता गर्नु पर्यो निकै डरलाग्दो आईमाई रहेछ ।,0,0,0,0,1,3
65,Thailand bata deport hunu ni achievement nai ho,0,0,0,0,0,2
66,Ladako dam dar chicne talai dam dar lagyo Sala jhole,1,0,0,0,0,5
67,जय नेपाल,0,0,0,0,0,1
68,हजुरको चित्त बुझ्दो प्रस्तुति जय नेपाल,0,0,0,0,0,1
69,शालिन भद्र नेता,0,0,0,0,0,1
70,तपाईंको कुरा सहिहो । तर नेतृत्वमा पुगेपछि गरिब सर्वसाधारण ईमानदार कार्यकर्ता लाई नेतृत्वले नोकर सम्झिन्छ । सदस्य होस जतिसुकै विमति भएपनि भोट हाल नत्र कार्वाही हुन्छ ! नेतृत्व गठबन्धन गर्छ तर कार्यकर्ता एमाले माओवादी का कार्यकर्ता संग बोल्दा समेत संका गर्ने बानी काँग्रेस लगायत सबै पार्टीमा छ । त्यसैले तपाईं नेतृत्व गर्ने गर्नुस तर कृपया नागरिक लाई सदस्य क्रियाशील सदस्य बनाएर सदस्यताको नाममा नोकर नबनाउनुस  ।,0,0,0,1,0,3
71,सान्दर्भिक र वास्तविकता,0,0,0,0,0,1
72,"तपाई घन्टेको एक नम्बर को झोले हो, हुनत तपाई सुरुमा खतरा गणतन्त्र बादी तेसपछि दुर्गा प्रसाइको भक्त राजा बादी, तेसपछि राप्रपाको होनोहार कार्यकर्ता संसद उमेद्वार, संसद उमेद्वार हुदा जमना जफत भए पछि अर्को चुनाबमा टिकट पाइन्छ की भनेर अहिले घन्टेको अन्ध भक्त, अब तपाइको कुरा कसैले पत्याउने वाला छैन ढुक्क भए हुन्छ।",0,0,0,1,0,4
73,यो स्वागत नेपाल भन्नेपनि तलुवा चटुवा रछ।बजेटको मर्म केहो थाहा छैन अहिले सम्मको हंसिलो अर्थमन्तृ अरे।,0,0,0,1,0,5
74,Yo mujiko anuhaar dekha rish uthax achel,1,0,0,0,0,5
75,Presentation ramro tara madham barga janatako hitma chhina.,0,0,0,0,0,2
76,Terima kogle hune lai thapis nahune beroj gari lai rojgari nai khosis,1,0,0,0,0,4
77,"गरीब मारुवा बजेट, जसले गर्छ सपोर्ट त्यो नि गरीब मारुवा हो।",0,0,0,1,0,3
78,Yo gungan gayer vayen Ali vidhyut ko bare vannu paryo,0,0,0,0,0,2
79,लुटेरा,1,0,0,0,0,4
80,उचित स्थान उचित मूल्य मिलाएर ढुङ्गा गिट्टी उत्खनन गर्नु पर्छ नत्र के ले बाटो घर संरचना बनाउने? माटो ले? यत्रो पहाड हुँदा जनता ले ढुङ्गा लाई महङ्गो हालेर किन्नु पर्ने पटक्कै मन परेको छैन मलाई,0,0,0,0,0,2
81,गजब भान्जा,0,0,0,0,0,1
82,एस्ता सङ अन्तर्बार्ता लिने पत्रकार पनि कस्तो होला,0,0,0,0,1,3
83,Ramailo xa,0,0,0,0,0,1
84,Sala haruko natak,1,0,0,0,0,4
85,Nepal ko university Lai ramro banauchu bhannu chhaina..,0,0,0,0,0,2
86,Bideshi nai lyaunu Cha.,0,0,0,0,0,2
87,"हार्दिक श्रद्धाञ्जली, छानविन समितिको प्रतिवेदन सार्वजनिक होस्।",0,0,0,0,0,1
88,"तर , मधेशले के पायो ?",0,0,1,1,0,2
89,Oye khate Israeli agent ta dherai bhukne karan yehi rahecha haina. Israel ko dalal,1,0,0,1,0,5
90,तलाई नेता मान्नुपर्नेअझ राई लिम्बुको त पिता नै पो,0,1,1,0,0,4
91,राइहरुले खाने भयो पुर्ब। जय किरात,0,1,1,0,0,4
92,Tata tetai ga machikne khate kukur,1,0,0,0,1,5
93,यो भुसिया कुकुरलाई निन्द्रा लाग्दैन।।। कहाँ तातातो गु खान पाइन्छ भनेर सोचिरहेको छ।।।।,1,0,0,0,1,5
94,मदिरा र श्रुतिजन्य पदार्थमा भ्याट यथावत राखेर दैनिक जीवनमा उपभोग हुने बिजुलीमा १३% भ्याट किन?,0,0,0,0,0,1
95,धुम्रपान स्वास्थ्यको लागि हानिकारक छ ।,0,0,0,0,0,1
96,Night shift मा nursing बाहेक अरु स्वस्थेकर्मी पनि छन मन्त्रि जिउ,0,0,0,0,0,1
97,Timile turunt rajina dinu parx natra pachii thik nahola hepne hamilai.,0,0,0,1,0,3
98,त्यो खरानि ग्याङ ले बनाएको हैन ! केहि गरेनन भनेर जस को घर मा आगो लगायौ देश जलायौ उनि हरुले नै बनाएका हुन होस मा आउ घण्टे,1,0,0,1,0,4
99,हामी धोका दिदैनौँ।,0,0,0,0,0,1
100,रबि लामिछाने हत्यारा हो,1,0,0,1,0,3
101,खानेपानीको धेरै जस मैले पाउनुपर्छः,0,0,0,0,0,1
102,"Private Boarding School Teacher लाई के राहत छ? बिदेशमा Toilet Cleaning गर्नेलाई पनि Pension हुन्छ, नेपालमा विद्यर्थीको भविष्य बनाउने शिक्षिक लाई किन विभेद??",0,0,0,1,0,2
103,कर्णाली किन हेला?,0,0,0,1,0,2
104,समाचारमा र तपाईँहरूमा खासै केही फरक छैन।,0,0,0,0,0,2
105,हेर्दै जाउ तिमिहरुको राजनीतिक अवसान यति निर्मम हुनेछ त्यो कल्पना भन्दा बाहिर छ।,0,0,0,1,0,2
106,Baula ko ho sab lai tha xa,1,0,0,0,1,4
107,kahako aafnai kitab bechera aabiskar kendra bnaune khako QR lutera,1,0,0,0,1,4
108,Divide and rule garayara kasari ladauxa uniharu janajati lai yahi bata thaha hunxa,0,1,1,0,0,5
109,"Thik chaina scientists jyuu...boli sudharnus...barbara ko 1 ta samman le jindagi nachalla....23, 24 ko vanda kroor samaya vognu parcha...herdai Janu hola...",1,0,0,0,0,4
110,महावीर पुनलाई पनि हर्केको कुरा गर्दा सारो रिस उठ्दो रहेछ मलाई जस्तै,0,0,0,0,0,2
111,राम्रो साक्षात्कार जनता सग,0,0,0,0,0,1
112,तेरिमा झोले तैले आमदानी गर्छस तिर्छस सबै तँ जस्तै कमाउने हुन्छन तँलाई हजार एक रूपे बराबर हो भनी गाउँका गरिब जनताको लागि त्यही पचिस रूपैयाँ पनि लाख बराबर हो गलत लाई गलत हो भन्न सक्दैनस,1,0,0,1,0,5
113,त पनि घन्टेग्याङको हनुमान त हस,1,0,0,0,1,3
114,Dalal le malik ko kaam ramrari gardaixa,1,0,0,0,0,3
115,जन्मदिनको धेरै-धेरै शुभकामना तिमीलाई,0,0,0,0,0,1
116,traffic lite bigreko kasaile dekhadaina... galti nahuda nahuda cheat kateko dekhadaina...,0,0,0,0,0,2
117,प्रहरी आतंक बन्द गर,1,0,0,0,0,3
118,म पदको लोभले आएको हैन,0,0,0,0,0,1
119,Nepali power,0,0,0,0,0,1
120,Yo galat bhayo yasako birudhma bolnu parchha,0,0,0,0,0,1
121,hamle ni tha payou k garnu aba...esta nalayek arthamantri bhaye pachi,1,0,0,1,0,4
122,ECD शिक्षकको माग संवोधन गर्न शिक्षा ऐनमा नै व्यवस्था गर्नुपर्छ,0,0,0,0,0,1
123,ढुङ्गा बोक्नेको औकात र हैसियत त्याहाँभन्दा माथि कसरी होस् त ?,1,0,0,0,0,3
124,jasto j bhayeni long term ma ramro nai hunxa hola,0,0,0,0,0,1
125,"dherai birodh matra garera basnu pani hunna, positive side ta tannai xan ta",0,0,0,0,0,1
126,talai kukur jaile jhole bhayera hideko xa kam xaina ho?,1,0,0,1,0,4
127,सम्झाउनु पर्यो है अध्यक्ष लाई,0,0,0,1,0,2
128,नक्कली र सक्कली पोस्ट छुटाउन नसक्नेले pm बन्छु रे,0,0,0,1,1,2
129,esai bheda bhaneko haina kun page ho jaach buj garnu chhaina,0,0,0,1,0,3
130,Feri rai Limbu haru le Gali garlan hai,0,1,1,0,0,4
131,madhesi = indian,0,1,1,0,0,5
132,rai limbu lai desh ko 20% bechera xuttai duita desh banauna parxa,0,1,1,0,0,5
133,jaat ra dharma ko name ma desh barbad garnu hudaina,0,0,0,0,0,1
134,"sabai prakar ko manxe sangai basnu parxa, balla po nepal nepal hunxa",0,0,0,0,0,1
135,harek manxe le dignity ko sath bachne adhikar payeko xa,0,0,0,0,0,1
136,2 karod lagani garna sakne kisan xa jasto ta malai lagdaina,0,0,0,1,0,2
137,किसान मारा रहेछ बालेन सर।,1,0,0,1,0,4
138,desh euta sundar bagaicha ho rangi changi fhool haru,0,0,0,0,0,1
139,"mechi to mahakali are all nepali, luv u all",0,0,0,0,0,1
140,nepal is the best country i have ever been to,0,0,0,0,0,1
141,किसान र उद्योगी छुट्याउन सकेन ।,0,0,0,1,0,3
142,हाम्रो प्रधानमन्त्री जी अहिले पनि विद्यार्थी हुनुहुन्छ।,0,0,0,1,0,2
143,Great attitude,0,0,0,0,0,1
144,lau ta police daju,0,0,0,0,0,1
145,यस्तो काम गर्दा झोले भईन्छ है फेरी !!,0,0,0,0,1,3
146,harka साम्पाङको समर्थक श्रमदान गर्दा गर्दै अचानक् ढ-लेपछि तनाव,0,0,0,0,0,1
147,Kasto cute,0,0,0,0,0,1
148,yo para le desh bikash hunxa jasto xaina hai,0,0,0,1,0,3
149,ktaho sab milera yeslai chai godnai parxa,1,0,0,0,1,5
150,yesko kura sunda ta acchamma po lagxa,0,0,0,0,0,2
151,"badar marne ki aru kei solution xa ta? solution ta chaiyo ni, there are millions affected by this thing",0,0,0,0,0,3
152,chaupadi lai end garnai parxa jasari ni,0,0,0,0,0,1
153,autism school kholne decision is one of the best,0,0,0,0,0,1
154,i love the ministers are trying at least,0,0,0,0,0,1
155,"kasto kura gareko, yo ta impossible xa ni nepal ko context ma mainly",0,0,0,0,0,1
156,nepal ma mountaineering haru ko scope ta ekdam high xa ta kina testo bhaneko,0,0,0,0,0,1
157,idk engineering ta almost ded ho aaba,0,0,0,0,0,2
158,"nepal lai actually 2 bagh ma badhera, yo madhesi lai euta ma pardinu parxa jasto xa",0,1,1,0,0,5
159,literally dharma ra jaat ko name ma ladnu is not okay at all,0,1,0,0,0,1
160,kp oli bhanda ni namraro decisions lirako xa balen le,0,0,0,1,0,3
161,mero kura namanne lai thankot ko dada kataidinxu,1,0,0,0,1,4
162,tero bau hawa kura nagar na tori jasto,1,0,0,0,1,5
163,kukur nai raixa yo youtuber ta,1,0,0,0,1,5
164,CM Saroj Kumar Yadav jindabad,0,0,0,0,0,1
165,bheda janata bhayesi kei hudaina,1,0,0,0,1,4
166,nepal sati le sarapeko desh ho,1,0,0,0,0,3
167,rai limbu ko jach garera mental hospital ma haldinu parxa,0,1,1,0,0,5
168,"dalit lai entry xaina yo hospital ma, yo kina gako bhitra?",0,1,1,0,0,5
169,"nepal police ko kam nai xaina, edit banayo basyo, aru thulo case ta solve garna sakdaina",1,0,0,1,0,4
170,boru kukur ko puchxar sida hola tara sher bahadur deuba ko kei hudaina,0,0,0,1,1,3
171,nepo baby bhanera aaile ko minister chai k?,0,0,0,1,0,3
172,"yo limbu haru ko ta aakha yitro syano hunxa, kei dekhdaina hola",0,1,1,0,0,3
173,hat yo khate lai ta paxi kutnu parxa,1,0,0,0,1,5
174,"yesko dimag nai xaina, yeslai desh nikala garna parxa, chor nai ho yo",1,0,0,0,1,5
175,chutiya desh ma chutiya janta,1,0,0,0,1,5
176,gang fight hanne bhaye aaija afno gang liyera indrachowk ma?,1,0,0,0,1,5
177,tero aaukaat nai k xa ra,1,0,0,0,0,4
178,tero thar bhanda ta mero jutta ramro xa,0,1,1,0,0,5
179,yo manxe lai ta kukur sanga compare garna ni mildaina hola,1,0,0,0,1,5
180,"yo hotel ma ramro khana pauxa, yei janu hajur haru",0,0,0,0,0,1
181,video ta ramro xa comment section regulate garnu paryo,0,0,0,0,0,1
182,"content chai ekdam new and informative hai, love it",0,0,0,0,0,1
183,"desh ettikai bigreko ta haina, yesta bikhari nathe haru le garda ho",1,0,0,0,1,4
184,chor sala hat,1,0,0,0,1,5
185,टाढाको काम रामरो हो तारा घर र अफिसको सीमा नै हरियो जसो लग्न थलेको छ । काम सक्किए पक्सी पानी मन काम बहिरा आउना गारो हुन्सा।,0,0,0,0,0,2
186,कम्तीमा मन्त्रीज्यूले प्रयास गरेको मलाई मन पर्छ,0,0,0,0,0,1
187,आज पुरानो रेडियो चलाउँदा बचपन सम्झियो।,0,0,0,0,0,1
188,"हिन्दू र धर्म सबै बेकार छन्, तिनीहरूको लागि कोही छैन",1,0,1,0,0,4
189,जंगलमा आधार छैन।,1,0,0,0,0,3
190,रामाइलो xa,0,0,0,0,0,1
191,muslim lai hatauna parxa.,1,0,1,0,0,5
192,राई कागतीले देश खाइरहेको छ,1,1,0,0,0,5
193,यो एप अपडेट गरेपछि ब्याट्री जान छाडो सकिना थाल्यो।,0,0,0,0,0,3
194,यो कुलमान घिसिङ को कुरा मात्र थुलो हो अहिले केटीएम मा दैनिक ५ छोटी लोडसेडिङ जसो नेट र बत्ती जंक्सा तारा सबाइले येस्लै नै नायक बनाउक्सान कसो वेद जनता हुन हमरा,0,0,0,1,0,2
195,ध्यान खोज xa खान,0,0,0,0,1,4
196,Timi le jaana jaan galat artha lagauna khojya jasto dekhinxaa,0,0,0,0,1,2
197,आज मौसम सफा भएकाले हिमाल स्पष्ट देखियो।,0,0,0,0,0,1
198,मछिकने तेरा त्यो सि अनुहर फेसबुक म नदेखा तेरा फोटो हेर्दा कुकुर ले पानी मक्सा होला कास्तो मोटी गधा देखेको के टिमी जसो लै त सीधा टोक्नु पर्ने,1,0,0,0,1,5
199,त्यसको फाइदा भाउजु र भाउजुले उठाइरहेका छन् ।,0,1,0,0,0,4
200,हिन्दू धर्म बेकार छ।,0,0,1,0,0,4
201,"Tero jasto veda dimag vako le malai sikauna pardaina sa khate kukur tero bau ko jggya haina yo fb page, tero aukaat xaina mero post ma reply garne block mji",1,0,0,0,1,5
202,Yo restaurant ko service herda ta paisa kharcha gareko nai bekar lagyo tait,0,0,0,0,0,2
203,Delivery rider lai exact address diyeko thiye tara feri phone garirakhyo.,0,0,0,0,0,2
204,प्रत्येक व्यक्तिलाई सम्मानपूर्वक बाँच्ने अधिकार छ।,0,0,0,0,0,1
205,तँ जस्तो बेवकुफले फेरि उही गल्ती दोहोर्यायो।,1,0,0,0,1,4
206,हिजोको कार्यक्रममा स्थानीय कलाकारले निकै राम्रो प्रस्तुति दिए।,0,0,0,0,0,1
207,"नेवार जाति भन्दासी कञ्जुसी को ठुलो तौको हुन इनीहरु, जहाँ गए नी स अफ्नो कैसेन मात्र हरक्सन अरु सबाइको पैसा कसरी खाने भने सोच वाको गद्दर फोहोर जान हो",1,0,0,0,0,4
208,यो भिडियो बनाउनेले रिसर्च नै नगरी अपलोड गरेको जस्तो लाग्यो।,0,0,0,0,0,2
209,ta damai bhayera thulo kura garxas,0,1,0,0,1,5
210,आज ट्राफिक जाममा आधा दिन लाग्यो ।,0,0,0,0,0,3
211,धेरै राम्रो विश्लेषण,0,0,0,0,0,1
212,"राई लिम्बु जात ले साधै बिदेशी मास्टर को डलर खैरा आफनो देश को संस्कृति बेचदै छन, इनिहरु को दिमाग मा नेपाली को माया ज़ैना बिदेशी दलाल हुन इनिहरु सबाई",1,1,0,0,0,4
213,"बोरु कुकुरको योनीको मुख यस्तो छ, बहादुर केटा स्वर्गमा छ।",0,0,0,1,1,3
214,"Aaja gym ma first day thiyo, body ta purai dukheko xa aहिले",0,0,0,0,0,1
215,"परिक्षाको नतिजा आउनेछ, परिश्रम अनुसारको नतिजा धेरै खुसी हुनेछ।",0,0,0,0,0,1
216,आज community cleanup campaign ramro lagyo.,0,0,0,0,0,1
217,यो जातिको मान्छे कहिल्यै सुध्रिदैन,1,1,0,0,0,5
218,"यो सरकार जनताको पक्षमा छैन, सबै युवा विदेश पलायन भइरहेका छन्",0,0,0,1,0,3
219,Muji tero anuhar dera kukur pani bhagxa linux dherai hero naban fb m tero real face sabaiko agadi leak gariraxu cyber ma tero case haleko xu bholi thaha painxas sa,1,0,0,0,1,5
220,"पहिलो पटक गाउँमा होमस्टे बसेँ, अनुभव निकै फरक र रमाइलो रह्यो।",0,0,0,0,0,1
221,"भाउजु तिमीले देशको रक्षा गर्नु छ, सबै कुरा ठुलो छ, तिमी त्यता जादै छौ ।",1,1,0,0,0,5
222,क्रिश्चियन हरु ले मात्र समस्य बधाये,1,0,1,0,0,5
223,Yo party neta chor ho kora thulo bhrastachar ko raja ho yo neta,1,0,0,1,0,4
224,"गलत सूचना हटाउनुको सट्टा, तपाईंले यसलाई फैलाउनुभयो।",0,0,0,0,1,3
225,आजको यात्रा थाकेको थियो तर दृश्य निकै सुन्दर थियो ।,0,0,0,0,0,2
226,"आज पहिलो पटक गाउँमा फाइबर इन्टरनेट जडान भयो, खुशीको कुनै सीमा छैन",0,0,0,0,0,1
227,hindu bahek aru dharma bekar hun sanatan dharma nai yo sansar ko saba bhanda clean ra s s sanskar vako ho aru dharma ka manxe haru sabai narak ko bhagi hudaixan dhongi haru,1,0,1,0,0,4
228,तेरो त्यो फोहोरी सि फेस दादा कुकुर ले नी मुत्सा होला कमेन्ट मा आयरा धराई हिरो नबन @manche_xyz निर्दोष केटीको खातिर तल्लो तहको साइबर शाखामा बुझाउनुपर्छ ।,1,0,0,0,1,5
229,Muji tero tyo si anuhar dera kukur pani bhagxa hola comment ma aayera dherai expert naban tero reality ma bholi leak gariraxu fb ma tero ijjat chat parxu,1,0,0,0,1,5
230,chor mantri lai tatkal hataunu parxa,1,0,0,1,0,4
231,muslim jati nai yo sansar ko thulo virus ho jaha gae ni kranti ra ladai bahek kei jandainan iniharu lai nepal bata chitto nikalnu parxa natra hamro sanskar sakinx fohor virus,1,0,1,0,0,5
232,aru dharma manney haru lai yo desh ma basne adhikar xaina,1,0,1,0,0,5
233,"हिन्दू धर्मबाट मुक्त छन्, सनातन धर्म सबैले प्रयोग गर्दैनन्, तिनीहरूले पुरानो हो बिदेशी डलर म बिकेरा धर्म परिवर्तन गर्ने हरु सबाइ नरक जन्डक्सन साथी",1,0,1,0,0,4
234,"यो यहाँ समीक्षा गर्नुहोस् होटल बुक गरको थिये, तारा कोठाको फोटो जसो नै रैनाक्स।",0,0,0,0,0,2
235,अफिसमा आएर चिठ्ठी पढेँ ।,0,0,0,0,0,1
236,"Dalit jaat ko manxe haru mandir ma xirera hamro sanskar fohor garna thale, yiniharu ko thau tallo nai thik xa quota dyaera sarkar le sabaiko tauko mathi chadhayo",1,1,0,0,0,5
237,तपाईंले तथ्य जाँच नगरी पोस्ट गर्नुभयो।,0,0,0,0,1,3
