clip_id,annotation_id,subject_english,action_english,background_object_english,note_english,submitted_at,user_id,task_id
clip_12,annotation_12,Main couple sitting together in the center,"Main couple sitting close to each other, acting as if having a romantic conversation",Brick-built areas with colorful cushions around,,2026-06-02 07:57:51.072556,5,903c3d5484dd4561a28f418de2161d13
clip_13,annotation_13,"Beautiful woman in Newari attire Haku Patasi (black saree-like), Cholo and red flower on head",Sitting on a platform looking at camera with various expressions and dancing,"In beginning and end shots the background is very dark, but in the middle shots a wide open green field with green hill in the back is visible",,2026-06-12 07:52:32.992759,5,3716ca99b4834d8e9e3280e48f3f2851
clip_14,annotation_14,Camera,Boy holding the camera,"Water, grass, trees",,2026-05-30 05:11:18.296445,7,4e25feb682b242848d0845ed827426e1
clip_15,annotation_15,A dog sitting on a table,"A boy drinking black tea in front of a shop, listening carefully",Town road with many shops and hotels,,2026-06-04 18:08:23.254829,5,ec479b1f5b8e4d6cb97d251daba66813
clip_16,annotation_16,Boy and girl,Boy and girl are dancing,Doko (basket) present,,2026-06-04 12:43:07.690440,7,7bf62cc10d824e3c91e15e058bfed528
clip_17,annotation_17,A woman and a man in blue jeans and white shirt,"Woman walking or dancing ahead, man raising hand and signaling her","Wooden pillars in a covered corridor, brick walls and tiled floor",,2026-06-12 10:30:11.018598,4,e11702c9ef18438aa77a05af001c5a0b
clip_18,annotation_18,"A young man in yellow shirt, black pants and brown cap sitting on the ground and a young woman in red and black modern outfit sitting beside","The woman laughing and raising her hand in the air waving, while the man sitting on the ground looks towards her trying to talk",Large green lotus leaves floating on a small pond beside a red-roofed pagoda temple and modern building,,2026-06-12 10:06:23.433035,6,f0d37437b5ed4354afa8864963865fba
clip_19,annotation_19,Girl in sky blue modern dress holding a green watering can,Girl watering flowers while a boy stands watching,Hillside with greenery and people's settlement visible in the background,,2026-06-12 12:55:55.191082,5,3a314e7eb7de4833be14ab6e39560d23
clip_20,annotation_20,Boy and girl,Boy and girl walking together,Jungle present,,2026-06-03 18:04:30.836809,7,739c661b0a7349cf982b73aa76f9c6f0
clip_21,annotation_21,Boy and girl,Boy holding girl's hand,Mountain,,2026-06-04 12:08:40.694713,7,3b11768e9bd1499690d7ad5ff5bde397
clip_22,annotation_22,A person in tattered clothes,Picking up garbage,"Stone path, farmland, bushes, garbage",,2026-06-05 09:56:47.916995,4,a96a74e5aa7c469da2d579768fe9755e
clip_23,annotation_23,Girl standing by the pond,Girl taking photo from the camera,A pond near green grass,,2026-05-29 08:51:12.240291,5,115da308778342078b92e33cd83791cf
clip_24,annotation_24,People in thick clothes from a village house,People greeting elders of the village with namaste and walking forward,In front of a small old house with steel stove and firewood burning,,2026-06-04 17:53:11.342455,5,4b50d33cde8a4c12bd7337b56633d0c2
clip_25,annotation_25,Boy,Boy is dancing and showing to the girl,Dancers present,,2026-06-03 17:58:15.739371,7,218627668f4e4cebb69dc71fcb2dca44
clip_26,annotation_26,Boys in Magar attire,Walking with damphu (drum) in hand,House courtyard,,2026-06-04 12:28:10.268799,5,c185f749ee534b2181bf37214359320b
clip_27,annotation_27,Traditional clay pots on the floor of a courtyard,A girl in Nepali dress being chased by a boy playfully,Traditional wooden and stone structure with thatched straw roof,,2026-05-29 18:12:09.512067,5,92c12f7319d240e0b8cbaab72860401d
clip_28,annotation_28,A man in a big brown coat on top of a wooden house,"A man hammering a nail on a wooden house, his attention goes to a beautiful girl and he accidentally hits his own hand with the hammer",Looks like it's very cold and frosty,,2026-05-29 19:17:59.812272,5,752795ae36e94e56bee77050b4b8e2c4
clip_29,annotation_29,Some people sitting in the courtyard of the house and some standing,A boy and girl dancing with hands on their chests,Big courtyard with corn and straw hung on the walls around,,2026-05-29 10:29:58.231441,5,ce37b6ce3a604fdb9aecac2875096b68
clip_30,annotation_30,People,People are there,Houses present,,2026-06-04 12:47:03.412126,7,b6a8b58064a04d069fc239f658697a10
clip_31,annotation_31,A man in Newari attire with red scarf,Dancing and walking,"Women in Newari attire, men in Dhaka topi playing sarangi and madal, bundle of straw",,2026-06-12 11:13:39.223896,4,b5c1d0fa3503442f87517e8446a68db2
clip_32,annotation_32,A modern girl in a short dress,Turning to camera and dancing,Red brick roof above supported by many white pillars,,2026-06-12 10:05:42.102747,5,75896b418e624dae9bad51b2df5b1f6e
clip_33,annotation_33,Boy and girl,Boy and girl danced holding hands,Doko and background dancers present,,2026-06-03 17:59:18.925621,7,138d029c3fe147ad9dc6f144364d1a0c
clip_34,annotation_34,"A beautiful woman wearing blue floral butta cholo, green bangles in hand, headband on head and necklace around neck",Lead actress sitting in front of camera acting exactly according to the emotion of the song,This video is shot inside an indoor studio set where the background is a very shiny and plain blue wall,,2026-06-12 07:26:12.030853,5,54bec2e16f624de98db02140ab79ccde
clip_35,annotation_35,"Old houses (covered with stone, mud, wood and tin)",Waving goodbye,Snow-capped Himalayas and hills ahead,,2026-06-04 17:57:36.750179,5,03b07804aa584acb974b194fc20f2fdd
clip_36,annotation_36,Boy in blue jeans and white full sleeves standing on a mountain cliff,Boy spreading hands on head after seeing the beautiful scenery,Beautiful green hills covered with fog visible,,2026-06-12 20:39:11.631672,5,c49755f06bf144afa6ea60653f53122c
clip_37,annotation_37,A young man who just arrived,Drinking a pack of raksi in one gulp and making a face,Small local tavern,,2026-06-04 18:25:36.470990,5,aaa38871ba824ede99223bb004f020ed
clip_38,annotation_38,A Nepali youth and a woman,"Putting flowers on head, laughing","Bushes, sky",,2026-06-05 10:19:32.850678,4,015b9206d0f740f7b67b3ebc0885178f
clip_39,annotation_39,People busy preparing for a festival,People dancing in a circle,Green grass visible in the field,,2026-06-02 15:35:34.849838,5,21509ef0339a4e0a874bac7cd08e8312
clip_40,annotation_40,Book,Boy turning the page of a book,Wall,,2026-05-30 05:20:51.815773,7,b591be5633954056922a7cb5e48bb346
clip_41,annotation_41,Boy,Boy is walking,Snow,,2026-06-04 12:12:12.254441,7,ecd2eacfea3545779f55e9dfba8a084a
clip_42,annotation_42,Hills ahead,The scene is changing,Clouds above the Himalayas,,2026-06-04 17:55:11.175011,5,cc2db378a1034e72b189d1e91af4a763
clip_43,annotation_43,"A young man in blue shirt and white shirt inside, with a handkerchief tied on head",A blue butterfly lands on the young man's hand and he blows it away gently from his mouth,View shot from a distance. Green hills and some people's settlement (houses) visible on the hillside in the background,,2026-06-12 12:48:27.293903,5,559f396f34014cab8563db2e0cb32577
clip_44,annotation_44,A modern girl dancing barefoot on a brick platform in front of a stupa,Dancing,Behind is a white stupa. Golden statues and pinnacle on top and middle of the stupa. Many stairs to climb the stupa.,,2026-06-12 10:09:29.157360,5,3f3ebc3638b142f2a6f782ff39b7de52
clip_45,annotation_45,Boys and girls in different colored outfits,Boys and girls waving hands and dancing,Flowers decorating the walls behind the house,,2026-06-02 08:03:25.835580,5,f3a9a61cde034e16b8ce37caf4ab9a3b
clip_46,annotation_46,Girl in green sari looking very beautiful,Girl holding boy's hand and both dancing together,"Behind, marigold garlands hung and yellow lights glowing like Tihar festival",,2026-06-02 07:53:15.614201,5,be34aac1f81c4db5bcfed6ec5c7e5058
clip_47,annotation_47,A rectangular TV on a table with a boy inside it,A boy inside the TV talking about Gen-Z movement,A black wall,,2026-06-14 15:20:47.523304,1,0920ff34ef0d4c678c868571dd789b13
clip_48,annotation_48,"Girl in green sleeveless top and colorful skirt casual modern dress, wearing beaded cultural necklace","Standing by the fence, looking at camera and smiling, adjusting hair and shyly dancing to the beat of the song",Many white round paper lanterns glowing in front and behind throughout the night,,2026-06-12 13:04:44.544259,5,a9af1737a18b451dacd255eedbcc1f41
clip_49,annotation_49,"Many people in Nepali traditional dress (daura surwal, iskot, dhaka topi, and guniu-cholo)","People carrying doko, swinging supo, and sorting straw","Traditional village courtyard and stone-mud houses, doko and corn hung in the veranda, and green hills and corn fields visible in the upper part",,2026-05-29 16:25:57.153986,5,ece87d1bc4584417a8e7f2f48848afd0
clip_50,annotation_50,"A handsome boy wearing shiny blue chuba, black pants, glasses, and Kipat (traditional belt) on waist","Energetically lip-syncing and dancing, touching chest with hand and pointing towards the mountains","Stone and mud old house with its dilapidated roof visible, with some Buddhist flags also hung. Behind are bare mountains and open sky with white clouds.",,2026-06-12 16:18:48.523553,5,ebcecae8cca04c98af0bda562777066d
clip_51,annotation_51,"Three young men, one of whom is holding cards","One young man is dealing cards, others standing around looking down",Brick wall and colorful lights party-like indoor space,,2026-07-11 05:10:56.296659,4,b4b018af507c45af8ed954951c671ab8
clip_52,annotation_52,A young man,Eating,"Door, bushes",,2026-06-05 10:05:16.368539,4,f205d27f004f44488383dbb460ac4934
clip_53,annotation_53,A young man and two dogs,Sitting with dogs,"Road, houses, dogs",,2026-06-05 10:25:23.256387,4,1ce641cef5f74030bc6116ae3ef81ba4
clip_54,annotation_54,"Many girls in black and golden combination cholo, colorful printed guniu, yellow waistband, and blue-red shawl draped from shoulders",All girls raising both hands and swaying their waists rhythmically in a group to the pleasant beat of the song,Some people visible standing in the background,,2026-06-12 08:32:20.983321,5,9fe54b1c20c340b99273b529eb544aa5
clip_55,annotation_55,Boys in blue and red outfits while girls in colorful traditional guniu-cholo,"All standing in a line on the upper part of the terrace, male dancers carrying their partner female artists",Large stone terrace with traditional village houses and a similar-shaped pauwa temple in the middle,,2026-05-29 17:35:37.569105,5,909b80f5f6a24254870fa8d240d2c89b
clip_56,annotation_56,Boy and girl,Boy and girl are hugging,Sea present,,2026-06-04 12:06:32.802458,7,7d341e08553a4d668d8aa10243da5387
clip_57,annotation_57,Many people in Nepali dress,Girl and boy on left and right pounding rice in mortar with pestle while two in the middle are playfully teasing,Doko hung on the pillar of a traditional village house visible,,2026-05-29 16:33:54.422600,5,83cbf4185d8a44c6bef2c392e28c727d
clip_58,annotation_58,Boy in thick brown clothes with scarf around neck and long hair,Girl telling something to the boy while the boy shakes his head indicating no,Large flat stone,,2026-06-01 10:57:59.181652,5,b1f2b780aedb42b7bbd0a26b120f41d0
clip_59,annotation_59,Girl in red saree and blouse and boy in coat pant,Two people giving romantic pose and shooting in the middle of a mustard field,Yellow mustard flowers blooming all around making the scene very attractive,,2026-06-12 07:16:53.211031,5,df7ab18d65194eedb6011fbbb0f2464e
clip_60,annotation_60,A young woman in modern dress standing on top of a fountain,Spreading hands and dancing,Open courtyard of an artistic building like a gumba with a lion statue and marble fountain,,2026-06-12 10:19:49.062137,6,ba29b2c191b24be2809a455d2b9c7827
clip_61,annotation_61,A Nepali youth and young woman,"Walking, looking","Corn stalks, pipal tree, sky, river",,2026-06-05 10:15:53.566844,4,1e608179ef9f49288a5c3b58706359d5
clip_62,annotation_62,"A beautiful woman with red tikka, earrings, kajal, red cholo and parted hair",Holding laliguras (rhododendron) flower with a very sad expression,"Background blurred so nothing much visible behind, a path through the hills where all modes of transport pass",,2026-06-12 08:09:19.040622,5,fc56054b98014c9fa61625e39a8e8d35
clip_63,annotation_63,Doko (basket),Dancing with it on head,Houses with people living,,2026-05-30 05:15:32.858460,7,6785e7a43c3d44b0a713edaa3280b0e6
clip_64,annotation_64,A woman and a man,Dancing,"Houses, blue cloudy sky",,2026-06-12 10:41:50.399737,4,9556bb7b962c41b0a6fb986b4f9acd55
clip_65,annotation_65,Some people inside a hotel,Asking the hotel waiter for a glass of local drink,A small hotel with table and fridge visible,,2026-06-04 18:20:28.937807,5,339ce26468804678a1148851adc57ac3
clip_66,annotation_66,A woman with open black hair and modern outfit,Dancing,Lumbini's World Peace Pagoda white structure with golden Buddha statue behind it with Buddhist script,,2026-06-12 10:13:50.704754,6,fbebf9e86d884102a5b1c79b1ea18adc
clip_67,annotation_67,People,Boy looking at girl and laughing,Doko baskets present,,2026-06-03 17:57:25.086977,7,2ccd2a57d0304bc3b29fadcee9e5028c
clip_68,annotation_68,A young man,"Jumping, running","Foggy, cloudy sky, night time, bushes",,2026-06-05 10:23:20.274325,4,b9f867f35f89472f9817093c5b150c1d
clip_69,annotation_69,A beautiful woman in red sari and big earrings,"Seeing the beautiful woman, the singer boy is happy","Like Tihar, yellow lights glowing behind",,2026-06-02 07:43:39.997981,5,dc68860759c94412afd807ca911f491c
clip_70,annotation_70,A young man,"Eating, holding roots","Door, tree roots",,2026-06-05 10:06:02.660841,4,7b00d3d656584c35ac169d9eaf7dcaf6
clip_71,annotation_71,Some people sitting in front of a house and a boy and a girl seen on the road,Boy in red coat coughing while girl in blue blouse and red sari adjusts hair,Red mud house door is closed,,2026-05-29 09:58:23.389104,5,558f951ab73c4557a428512cf20b6514
clip_72,annotation_72,Girl in red sari and boy with black hair and sunflower earring,Boy playing damphu (drum),Mustard flowers blooming in the mustard field,,2026-06-04 12:20:15.567323,5,44e562c9a5d143ad8368ca4af17e3272
clip_73,annotation_73,"A boy in blue half jacket, full sleeves, pant and shoes",Dancing freely to his own tune without caring about others,Brick-built house with many wooden windows,,2026-06-04 18:17:54.954970,5,ecd8f42bb2f041978df6c5e52c314a22
clip_74,annotation_74,"Small scooter, white dog and a young man",Happily riding scooter with dog in the scooter basket,A small lane in town,,2026-06-04 18:28:56.316849,5,d5db109f91b8431393bf57c2b67f6f88
clip_75,annotation_75,Boy and girl,Boy and girl are dancing,Background dancer,,2026-06-04 12:42:24.480576,7,718c94e093b6442d8af952e8f583bc85
clip_76,annotation_76,People in thick clothes and muddy big boots by the lakeside,A boy and girl walking by the lakeside in daura and then putting hands in the lake,A lake in front of big green trees,,2026-06-01 11:04:51.921678,5,dbb3b56b7ed64023ad5e6df92e6503dd
clip_77,annotation_77,Actor and actress shown in casual modern look in the frame,Actress excited seeing pigeons flying while actor walking from behind,Background scene looks like a big market where clothes are put up for sale,,2026-06-12 08:03:55.187696,5,3a921fe18ce24c5cb6c3e4a22fc0ee00
clip_78,annotation_78,"A young man in long hair, red shirt and blue jeans below","A young man leaning on a big stone, looking down at the village below, singing emotionally",Green hills all around and small village-like houses visible in the valley below,,2026-06-12 20:44:28.027794,5,cc4130450f7147d8a679219c2862fb65
clip_79,annotation_79,A brown chair kept on a field of dried grass,Girl in kurtha suruwal walking,Colorful flags hung around trees,,2026-06-04 12:22:29.296873,5,2ec9b3257f62401bb79417944cb80e40
clip_80,annotation_80,Shiny western outfit,A beautiful girl flipping hair and turning back,Blue curtain in front of a car,,2026-06-04 12:44:48.555932,5,f282c35ef161461a855c1a31834e83e1
clip_81,annotation_81,A woman and a man,Dancing,"Red colored house, blue sky",,2026-06-12 10:42:39.876429,4,2aef93b517184554b0d3464d16bcec7f
clip_82,annotation_82,A Nepali youth in tattered clothes,Sleeping,A small boy in shorts cleaning,,2026-06-05 09:52:16.252067,4,7521076996534aaaa3e12a55244ef4d4
clip_83,annotation_83,A young man,Eating food,"Room, clothes hung",,2026-06-05 10:29:08.060291,4,539330cdfefc4ba9b2b374dd02051a46
clip_84,annotation_84,"Girls in black-golden cholo, colorful printed guniu, yellow waistband, and blue-red traditional shawl",All boys and girls moving hands in rhythm and swaying waists in a line,All dancing in front of an old house or temple courtyard,,2026-06-12 09:35:44.467116,5,76a44c24010c4d23a5a17479f2289e00
clip_85,annotation_85,Boys in Magar dress sitting in the courtyard,Playing damphu and madal and singing songs,Big courtyard in front of a traditional house,,2026-06-04 12:38:06.338359,5,362f585334ab4ff2b82bf4ecc4ac94f8
clip_86,annotation_86,Boy and girl inside a traditional wooden resting place,Looking at each other romantically inside the resting place,"It's late at night, open field and shiny white paper lanterns (lights) glowing behind",,2026-06-12 13:19:21.690789,5,cddc97f1643e4e258bab5b18ee7f8a6d
clip_87,annotation_87,Boy and girl,Boy is hugging the girl,Snow,,2026-06-04 12:12:57.415006,7,4568ea3534fc49f68f25bee7fc1b6b45
clip_88,annotation_88,Old houses made of wood and stone with a dirt road in between,Dirt road where a vehicle is carrying people,Beautiful Himalayas,,2026-06-04 12:48:20.821378,5,d647ad22bc15455eb98970d131dfb1cb
clip_89,annotation_89,"A Nepali youth as main character in Nepali Dhaka iskot and waistband patuka, with other youths in similar attire and Dhaka topi in supporting role behind",Performing traditional Nepali dance with enthusiasm,Open space with old brick walls with a crowd of people present,,2026-06-12 09:33:54.157489,6,ed26d4bfb6c343aa940652e413bb0f05
clip_90,annotation_90,A woman and a man.,Both dancing together,"Brick wall and tiled floor, blue sky",,2026-06-12 10:32:28.959876,4,563f47caa8134df89f0ab85cc17676c0
clip_91,annotation_91,Small children,Children forming a gang and playing Pokemon cards,Courtyard of a house or any living space,,2026-06-04 18:14:56.813597,5,7552fe2a42914eeda38a69042912260f
clip_92,annotation_92,Girl,Girl carrying daura and walking,Trees present,,2026-06-03 18:03:38.805916,7,81a73db768634da3b25b02077fd3e28a
clip_93,annotation_93,"A beautiful woman with nose ring, necklace around neck and red lipstick","Beautiful woman playfully, smiling, holding a broom",A wooden structure,,2026-06-01 11:16:30.884574,5,55f0422777cf42b08191abbf315b1010
clip_94,annotation_94,Nepali youth in Magar dress,Dancing Fanfani style,Green grass field with sunshine and mountains visible,,2026-06-03 17:11:07.089352,5,b3b0d3d7690e40c088231be5ba75afd2
clip_95,annotation_95,"A smiling young woman adorned with traditional Nepali ornaments and red choli-green skirt, and a young man in white kurta with printed waistcoat",Engaged in traditional Nepali folk dance with hand gestures in a joyful mood,Nepali village houses glowing in sweet light at night and audience enjoying the dance,,2026-06-04 18:36:59.147762,6,c67a6e3de14c4de9bdbdeaff6bbd1499
clip_96,annotation_96,Cycle,Girls dancing,Green trees,,2026-05-30 05:12:19.423685,7,b2c4a130c70f4d088b61a3393b0b61a5
clip_97,annotation_97,A small dried river bed with some artists in saree visible,Dancing on the riverbed,Dried stream and riverbed with sand below the green hills,,2026-06-12 07:11:32.748838,5,ce2e98c1e08e476ea6666af292a74e6f
clip_98,annotation_98,Two people in mountain dress,A beautiful woman sitting on a stone petting a small lamb while a boy stands walking with a stick and chatting,Big flat stones and forest behind,,2026-05-29 19:41:48.012408,5,9acbf24d22c249e0b78efa75bb7e2fbf
clip_99,annotation_99,A young man with beard in black clothes and white scarf standing in front,Young man bringing cards near his mouth and dealing,Nighttime outdoor party-like place with lights and colorful flags hung on strings,,2026-07-11 05:12:18.250147,4,10c77c33e9a246b489952e3fbba25672
clip_100,annotation_100,"All people wearing red, blue and black outfits while the middle person in black, red and faded green",All people turning to camera and dancing for shooting,Courtyard of a traditional village house and wooden pillars behind,,2026-05-29 16:41:45.296526,5,16313657abc54c489c495cfe0b952cd9
clip_101,annotation_101,Girl,Girl walking and singing,Trees present,,2026-06-04 12:10:05.789566,7,fb4b1eae54e141cf947f66dc64542d57
clip_102,annotation_102,A man with beard and puffy hair,"Hand on waist, deep in thought",Old movie cassettes and posters cassette shop or studio,,2026-06-04 18:12:48.126690,5,c5f3a1e5c6f34a6a9adbdf897fb77e72
clip_103,annotation_103,Boy and girl,Boy and girl dancing kicking their legs,Written BYD,,2026-06-04 12:42:00.199444,7,7b9d2797ac9d4949a54ca1891b3fc0fe
clip_104,annotation_104,A bike,Boy riding bike and a boy sitting behind,"Colorful umbrella, big gate",,2026-05-30 05:08:26.424253,7,33e3da53f85a49d496564b159b001ec5
clip_105,annotation_105,A Nepali woman,Standing and looking,"Mountains, clouds, trees, bushes",,2026-06-05 10:08:31.230621,4,52f574a565724712af23706ff0ffa3e4
clip_106,annotation_106,All wearing Nepali dress while the boy in the middle in modern dress (jeans and boot),All doing a dance step matching hands and feet rhythm with the song,Behind are huge and green mountain hills with a small settlement,,2026-06-12 09:56:45.407051,5,985348f747d140f5a29b501b350060de
clip_107,annotation_107,A man with curly hair and beard,"Looking at himself in the mirror, reminiscing about his childhood","Indoor scene with mirror, shoe rack and door visible",,2026-06-04 18:01:40.085051,5,f55be94b8a984aec912f3bd85a563d1c
clip_108,annotation_108,"A boy and girl seen going up the stairs directly. Girl in small clothes and boy in pant, shoes shirt with hand on head",Both holding heads and going down from the stairs and doing some dance steps,Behind is an umbrella-shaped brick and cement concrete structure,,2026-06-12 10:02:39.595739,5,295362a40d43404a9ad860f464ea1bf5
clip_109,annotation_109,Girls in red and yellow choli with Nepali jewelry,Girls dancing and boys also joining in to dance,In front of an old traditional village house with a big tree and clouds covering the sky,,2026-05-29 16:50:03.238725,5,192daba6c0b448988695a3cdf2e569bb
clip_110,annotation_110,Boy and girl,Dancing,"Wall and background dancers sitting, some standing and dancing",,2026-06-03 17:50:41.597035,7,860a0b53820447b6b2cab552b190f30d
clip_111,annotation_111,A young man,Sitting dejectedly,Dark environment,,2026-06-05 10:20:45.651288,4,3a49919b16c9422089aac0d0ac29f48b
clip_112,annotation_112,A girl in warm clothes due to cold,A girl in red sweater carrying wool in a basket walking,Cold and frosty all around with a wooden house,,2026-05-29 19:10:01.982837,5,91e5006d52d24ac1a6121f1e71745ec9
clip_113,annotation_113,"A boy in black coat and white shirt standing in front, a girl in black outfit standing nearby","Boy looking at girl and dancing spreading hands, people around also enjoying","Indoor party-like place visible, graffiti and decorations on brick wall behind",,2026-07-11 05:05:03.980825,4,009f0441f93f4ea69af213080b983edc
clip_114,annotation_114,A young man,Leaning on wall,Painted wall,,2026-06-05 10:01:57.455032,4,8d094d9a342e461a9427526787bb01dd
clip_115,annotation_115,A young man,Laughing,"Wall, outdoor environment",,2026-06-05 10:02:39.369214,4,6c94f811833045f39aa992ec2b47fd31
clip_116,annotation_116,Boy,Boys are walking,Houses present,,2026-06-04 12:46:13.745847,7,3382059180ff4489a6a0d8677857ae31
clip_117,annotation_117,Some customers in the hotel,A friend forcibly opening local alcohol and making a young man drink,A small hotel,,2026-06-04 18:22:17.304883,5,1d403d3c4eb64f8784a21ed6fa0d4f41
clip_118,annotation_118,Main singer wearing glasses with guitar in hand. On his side are traditional Dhime drum players (in red Dhame costume with cloth on head) and a scary Lakhey mask (traditional Newari mask) dancer,Singer energetically holding guitar and lip-syncing while Lakhey dancer and Dhime players dance dynamically to the special beat of the song,Behind is a red brick house and wooden windows. Colorful flags and ribbon-like long clothes hung visible.,,2026-06-12 12:35:15.381221,5,f9fbf691f8dc4bc6bc628730e4edd138
clip_119,annotation_119,People standing on the road and a boy in red coat with red flower on ear,People walking on the road and some boys playing and enjoying,Old mud house,,2026-05-29 09:50:20.045320,5,7f67504f3c4346c68bc40f3bf7af697d
clip_120,annotation_120,Girl,Girl standing on a spot,Tree present,,2026-06-04 12:09:47.870930,7,1a269575f9954603b52486a0f9ed6082
clip_121,annotation_121,"Headband, dhaka topi, daura suruwal",Dancing with traditional dress and hands raised,It's dark and a small light glowing,,2026-05-30 05:18:52.112339,7,8b9f2e7608864d45bb27dd6bbea725e1
clip_122,annotation_122,Boy and girl,Girl resting hand on boy's shoulder,Sea present,,2026-06-04 12:07:50.928659,7,a1a2a8ba551d4ab093bdfa17fa445199
clip_123,annotation_123,"Many young men, some with guns in hand",Dancing together joyfully with guns raised,"Indoor party-like place with brick wall, colorful flags, triangle lights and decorations",,2026-07-11 05:10:08.702212,4,66029b23ca6d42ae905cf1cb0a101b52
clip_124,annotation_124,A man,Resting leg on wall and waving hand,Brick-built wall,,2026-06-12 10:35:22.891226,4,87725d36abb544ada0fee5f3ae98244b
clip_125,annotation_125,Large crowd gathered to watch a dance performance,Dancing with hand on waist,"Traditional houses made of mud, wood, stone and brick all around",,2026-06-12 09:43:27.306345,5,f7b41592671e4c33b781edc02dafeab0
clip_126,annotation_126,Boys,Boys are dancing,Background dancer,,2026-06-04 12:43:34.620822,7,094d5f91eef5444c830c6c6dbe9b066e
clip_127,annotation_127,dui jana keti ra ek jana kta chaa,keti hidda hiddai kta lai isara ley bolayera keta chasma lagayera aaudai chha,kalo gadi batoma rokiyeko chha,,2026-05-29 08:46:33.347369,5,0cdfb52555764cb69caf69d7da128275
clip_128,annotation_128,White colored bolero,"Bolero carrying people, raising dust, driving",Dirt road in a village with old houses,,2026-06-04 13:08:27.883323,5,eefb4f7d2cc041d1970331ce51415888
clip_129,annotation_129,A young man,Smiling,Dark environment,,2026-06-05 10:21:36.187336,4,6fd7fb8464174eb1962d6a121ef299a7
clip_130,annotation_130,Boy and girl pair standing,"Pair dancing, boy and girl dancing together",Inside a big room there are stairs and yellow lights glowing,,2026-05-29 10:40:21.347267,5,690ab68f97f14d7bbb268b285fb0f256
clip_131,annotation_131,"People in mountain dress, mountain attire and yellow boots on feet",A mountain boy and girl herding sheep,"Big trees, uphill places and green grass all around",,2026-05-29 19:37:32.966496,5,3b8c27144b8447b8a8b8b2c53962a580
clip_132,annotation_132,Many people at a big party together,All people enjoying drinking alcohol listening to music,"Good indoor lighting, modern setup visible",,2026-05-29 11:26:43.530650,5,28df25fe80e24584af19c587bb804950
clip_133,annotation_133,A boy in daura suruwal with long curly hair,"Boy leaning on pillar turning head, talking to a girl",Nighttime with fire burning behind and corn hung on house pillar,,2026-05-29 10:15:25.826298,5,eaf9091d93aa4f2c892191697c3b93d3
clip_134,annotation_134,A young man,Sleeping and laughing,Sky,,2026-06-05 10:13:48.686641,4,57a0010ed31e4a889fed2d50cefaa2c4
clip_135,annotation_135,Yellow blouse and blue sari wearing side characters while the main hero and heroine are more beautiful than them,"Artists dancing while mining, main artists in romantic pose",In cold weather green grass covering the hill behind visible,,2026-06-12 07:01:20.491300,5,197aeac801174d3fac64b329ca051e33
