english,nepali
A young man,एक जना युवक
A young man and two dogs,एक जना युवक र दुईवटा कुकुरहरू
A young man making a face as his friend forces him to drink local alcohol,साथीले जबर्जस्ती लोकल खुवाएर मुख बिगार्दै गरेको एउटा युवक
A young man sitting on a motorcycle,एक जना युवा मोटरसाइकलमा बसेको
A young man wearing a blue shirt over a white shirt with a bandana tied on his head,नीलो सर्ट र भित्र सेतो सर्ट लगाएको एउटा युवक जसले टाउकोमा रुमाल बाँधेको
A young man wearing a white and cream blazer,सेतो र क्रिम रङको ब्लेजर लगाएको एक युवक
"A young man wearing a yellow shirt, black pants, and a brown cap sitting on the floor, and next to him, a young woman wearing a red and black modern outfit is sitting.","पहेंलो रङको शर्ट, कालो प्यान्ट र खैरो टोपी लगाएका एक युवा पुरुष भुइँमा बसिरहेको र छेउमा रातो र कालो रङको आधुनिक पोसाक लगाएकी एक युवा महिला बसिरहेकी छिन्।"
A young woman wearing a modern dress is seen standing at the top of the stairs.,आधुनिक पोसाक लगाएकी एक जना युवा महिला सिँढीको माथिल्लो भागमा उभिएकी देखिन्छिन्।
"Above the large stone staircase, large traditional village-style houses and a uniform-sized rest-house/temple are visible in the middle.",ठूलो ढुङ्गाको सिँढीको माथि ठूला परम्परागत गाउँले ढाँचाका घरहरू र बीचमा एउटै आकारको पाटी/मन्दिर देखिन्छ।
Actress Parewa udiraheko dekhera ramai raheko ani actor paxadi bata hiddai aai raheko,अभिनेत्री परेवा उडिरहेको देखेर रमाइरहेकी छिन् अनि अभिनेता पछाडिबाट हिँड्दै आइरहेको छ।
Adharyo kotha,अँध्यारो कोठा
Agla pahadh haru,अग्ला पहाडहरू
Aglo pahadi ko tala phed ma eauta sukeko khola ani bagar ma baluwa dekheko,अग्लो पहाडीको तल फेदमा एउटा सुकेको खोला अनि बगरमा बालुवा देखिएको
"All the people are listening to the music, enjoying themselves, and sipping alcohol.",सबै मानिसहरू गीत सुन्दै रमाइरहेका र मदिराको चुस्की लिइरहेका छन्।
"Along with the actor and actress, the female backup dancers are spinning while the male backup dancers wave their hands.",अभिनेता र अभिनेत्रीका साथसाथै सह-नर्तकीहरू घुमिरहेका छन् भने सह-नर्तकहरू हात हल्लाउँदैछन्
"Along with the pleasant rhythm of the song, all the girls are dancing in a group, raising their hands and swaying their waists smoothly.","गीतको रमाइलो तालसँगै सबै केटीहरूले आफ्नो दुई हात माथि उठाउँदै, सहज रूपमा कम्मर मर्काउँदै समूहमा गरिरहेका छन्।"
"An attractive girl is wearing 'Chuba', a traditional Tibetan/Himalayan cultural dress worn in the Himalayan regions (Manang/Mustang), with a red sash tied around her waist. She also wears an attractive stone-studded headpiece on her head.",एउटी आकर्षक केटीले हिमाली भेग (मनाङ/मुस्ताङ) मा लगाइने परम्परागत तिब्बती/हिमाली सांस्कृतिक पोसाक 'चुबा' लगाएकी छिन् र कम्मरमा रातो पेटी बाँधिएको छ। उनले शिरमा आकर्षक पत्थरले बनेको शिरबन्दी पनि लगाएकी छिन्।
"An attractive girl is wearing 'Chuba', a traditional Tibetan/Himalayan cultural dress worn in the Himalayan regions (Manang/Mustang), with a red sash tied around her waist. She also wears an attractive stone-studded headpiece on her head.","Eauti akarsak keti ley Himali bheg (Manang/Mustang) ma laginge parampargat Tibetan/Himali saanskritik posak ""Chuba"" (चुबा) lagayeki chin ra kmar ma raato sash badhiyeko chha. Unile shir ma akarsak patthar ley baneko headpiece pani lagayeki chin."
An event taking place in a flat field in the hilly region,पहाडी भेगको समथर मैदानमा कुनै कार्यक्रम
"An indoor party-like place is visible, and there are graffiti and decorations on the brick wall in the background.","भित्रको पार्टी जस्तो ठाउँ देखिएको छ, पछाडि इँट्टाको भित्तामा ग्राफिटी र सजावटहरू छन्।"
An indoor party-like place with brick walls and colorful lights,ईट्टाको भित्ता र रङ्गीन बत्ती भएको भित्रको पार्टी जस्तो ठाउँ
"An indoor venue with nice lighting, showing a modern setup","भित्रको राम्रो लाइटिंग भएको ठाउँ, आधुनिक सेटअप देखिन्छ"
"An old clay pot (ghaito) is on the grass, and a doko basket is hanging from the house pillar.",घाँसमाथि पुरानो माटोले बनेको घैँटो र घरको खम्बामा डोको झुण्ड्याएको छ।
"An old man wearing daura suruwal, dhaka topi, and a black coat near a dry/rustic house","सुकेको घरको छेउमा (दौरा सुरुवाल, ढाका टोपी अनि कालो कोट) लगाएको एउटा वृद्ध"
An old mud house,पुरानो माटोको घर
An open courtyard featuring old-style structures that resemble a palace square,दरबार क्षेत्र जस्तो देखिने पुरानो शैलीका संरचनाहरू भएको खुला परिसर
"An open courtyard of an artistic monastery-like building is seen, featuring a lion statue and white marble steps with railings.",गुम्बा जस्तो देखिने कलात्मक भवनको खुला परिसर छ जहाँ एउटा सिंहको मूर्ति र रेलिङसहितको सेतो सङ्गमर्मरको सिँढी देखिन्छ।
"An open space with old brick walls, where a large crowd of people is gathered.",ईट्टाका पुराना पर्खालहरू भएको खुल्ला ठाउँ जहाँ धेरै मानिसहरूको भिड उपस्थित छ।
"Around a large courtyard, corn and small oil lamps (tuki) are hanging on the house walls.",ठूलो आँगनको वरिपरि घरको भित्तामा मकै र टुकी झुण्ड्याएको
"At night, a small oil lamp (tuki) is burning behind and maize is hanging from the house pillar.",रातिको बेलामा पछाडि टुकी बाल्दै अनि घरको पिल्लरमा मकै झुण्ड्याएको
Backgound ma kehi manish haru unbiyeko dekhna sakinxa,पृष्ठभूमिमा केही मानिसहरू उभिएको देख्न सकिन्छ।
Background dancer,पृष्ठभूमि नर्तकहरू
Background dancer haru,पृष्ठभूमि नर्तकहरू
Background dancers,पृष्ठभूमि नर्तकहरू
Bagar ma eauta sano sukeko haga lai gadeko ani kehi saree lagako kalakar haru dekhna sakinxa,बगरमा एउटा सानो सुकेको हाँगा गाडिएको अनि केही साडी लगाएका कलाकारहरू देख्न सकिन्छ
Ban Basko gadi bato ma rokeko,बनबासको गाडी बाटोमा रोकिएको
Bato ma gadi gudiraheko,बाटोमा गाडी गुडिरहेको
Beautiful high green hills are seen covered in fog.,सुन्दर अग्ला हरियाली भएको पहाडलाई कुहिरोले ढाकेको देखिन्छ
Beautiful sun rays visible,सुन्दर सूर्यको किरण देखिएको
Bhitta,भित्ता
Bidding farewell by presenting a Khada scarf,खादा लगाएर बिदाइ गरिरहेको
Bisramsthali bhitra eak arka lai romatic way ma heriraheko,विश्रामस्थल भित्र एक अर्कालाई रोमान्टिक तरिकाले हेरिरहेका
Blue sky,नीलो आकाश
Blue sky and snow-capped mountains visible far away,नीलो आकाश अनि निकै टाढा हिमालहरू देखिएको
"Blue sky, greenery all around, large trees, and beautiful weather.","नीलो आकाश, चारैतिर हरियाली, ठूला-ठूला रूख, र सुन्दर मौसम।"
Blurry wall,धमिलो भित्ता
Book,किताब
Both are seen walking and talking together.,दुवैजना सँगै हिँड्दै कुरा गरिरहेको देखिन्छ।
Both extract wool together. The boy hands the extracted wool to the girl.,दुवै जना मिलेर ऊन निकाल्छन्। केटाले केटीलाई आफूले निकालेको ऊन दिन्छ।
"Both lead actors look at each other, laughing lovingly and getting romantic, as the actor hugs the actress from behind.",दुवै मुख्य कलाकारहरू एकअर्कालाई हेरेर मायालु पारामा हाँस्दै रोमान्टिक हुँदै अभिनेताले अभिनेत्रीलाई पछाडिबाट अँगालो हाले।
Both of them draw close and dance.,दुवै नजिकिँदै गएर नाचिरहेका छन्
Boy,केटा
Boy and girl,केटा र केटी
Boys,केटाहरू
Boys and girls are dancing moving their hands and feet.,केटा र केटीहरू हात खुट्टा चलाएर नाचिरहेका छन्
Boys and girls are dancing while waving their hands.,केटा र केटीहरू हात हल्लाउँदै नाचिरहेका छन्।
Boys and girls dancing in couples,जोडी बनाएर केटा र केटीहरू नाचिरहेको
Boys and girls wearing different colored outfits.,फरक रङको पोसाक लगाएका केटा र केटीहरू।
Boys and girls wearing western clothes,पश्चिमी पोसाक लगाएका केटा र केटीहरू
Boys are walking.,केटाहरू हिँडिरहेका छन्।
Boys carrying bows are aiming at a target.,धनुष बोकेका केटाहरू निशाना ताक्दै
Boys wearing Magar traditional dress,मगर पोसाक लगाएका केटाहरू
Boys wearing traditional Magar dress in the courtyard,आँगनमा मगर पोसाक लगाएका केटाहरू
"Bright sunlight glows around the tree, and hilly slopes and open sky are visible.","रूखको वरिपरि चम्किलो घामको उज्यालो छ, पहाडी डाँडाहरू र खुला आकाश देख्न सकिन्छ।"
"Bushes, sky","झाडी, आकाश"
"Bushes, trash","झाडीबुटी, फोहोर"
Byd lekhya xa,बीवाईडी लेखिएको छ।
Camera,क्यामेरा
Clapping hands and dancing in a joyful mood,रमाइलो पारामा ताली बजाउँदै अनि नाच्दै
Clouds above the snow-clad mountains,हिमालको माथि बादलहरू
Coat lagayeko mukhya nayek ani saree lagayeko mukhya nayika ko kapal ma heu taseko,कोट लगाएका मुख्य नायक अनि साडी लगाएकी मुख्य नायिकाको कपालमा हिउँ टाँसिएको
Colorful banners hanging from a string in the background,पछाडि रङ्गीचङ्गी पताकाहरू डोरीले झुण्ड्याएको
Colorful banners hanging over a green grassy field,हरियो घाँसको मैदानमा रङ्गीचङ्गी पताकाहरू झुण्ड्याएको
Corn hanging on a house made of red clay and bricks,रातो माटो र इँट्टाले बनेको घरमा मकै झुण्ड्याएको
Corn hanging on the balcony of a two-story old house with a large courtyard,एउटा ठूलो आँगन भएको दुई तले पुरानो घरको कौसीमा मकै झुण्ड्याएको
"Covered alley with wooden pillars, brick walls, and concrete floor","काठको खम्बाहरू भएको ढाकिएको गल्ली, इट्टाको भित्ता र ढलानको भुइँ"
"Covering the massive trees, what a beautiful scene","ठूला-ठूला रूखहरूलाई ढाकिरहेको, कस्तो सुन्दर दृश्य"
Cycle,साइकल
Damphu ra madal bajayera geet gaudai,डम्फु र मादल बजाएर गीत गाउँदै
Dancer haru,नर्तकहरू
Dancers,नर्तकहरू
Dancers dressed in traditional Tharu attire holding lit oil lamps in their hands,परम्परागत थारु पोसाकमा सजिएका नर्तकीहरूले हातमा बलिरहेको दियो समातेर
Dancing,नाचिरहेको
Dancing,नाच्दै
Dancing and carrying guns,नाच्दै र बन्दुक बोक्दै
Dancing and giving facial expressions to the camera near the house,घरको छेउमा क्यामेरामा अनुहारको अभिव्यक्ति दिँदै नाचिरहेको
Dancing casually,साधारण तरिकाले नाच्दै
Dancing matching hand and foot rhythms,हात खुट्टाको ताल मिलाएर नाच्दै
Dancing near the cliff edge matching hand and foot rhythms,हात खुट्टाको ताल मिलाएर भीर नजिक नाचिरहेको
Dancing while facing the camera,क्यामेरामा फर्केर नाचिरहेको
Dancing while waving hands,हात हल्लाएर नाचेको
Dancing with hands placed near the head,टाउको नजिक हात लगेर नाचेको
Dancing with hands placed on the waist,कम्मरमा हात राखेर नाचिरहेको
"Dancing with hands raised, wearing traditional attire",परम्परागत लुगा लगाएर हात माथि लगेर नाचेको
"Danda ra jungle, thulo thulo rukhharu, badal ra kuhero le dhakieko","डाँडा र जङ्गल, ठूला-ठूला रूखहरू, बादल र कुहिरोले ढाकिएको"
"Dark and blurry background, with the glow of twinkling dim blue and yellow evening lights","अँध्यारो र धमिलो पृष्ठभूमि, साँझको झिलिमिली मधुरो नीलो र पहेंलो बत्तीहरूको चमक"
Dark environment,अँध्यारो वातावरण
Dark room,अँध्यारो कोठा
Dhaka topi lagako,ढाका टोपी लगाएको
Dhunga ra cement ley baneko purano jasto adhyaro thau jaha mathi dekhi surya ko kiran aayeko,ढुङ्गा र सिमेन्टले बनेको पुरानो जस्तो अँध्यारो ठाउँ जहाँ माथिदेखि सूर्यको किरण आएको छ
Doko,डोको
Doko basket and background dancers,डोको र पृष्ठभूमि नर्तकहरू
"Doko baskets, pumpkins, and corn are hanging on the house balcony, and there are many trees nearby.","घरको कौसीमा डोको, फर्सी र मकै झुण्ड्याएको छ अनि छेउमा धेरै रूखहरू छन्।"
Doko ra background dancer,डोको र पृष्ठभूमि नर्तकहरू
"Door, bushes","ढोका, झाडी"
Dubai  jana Tauko tasayera mathi sidhi bata jhardai gareko anii kehi dance steps haru gardai,दुवै जना टाउको तसाएर माथि सिँढीबाट झर्दै गरेका अनि केही डान्स स्टेपहरू गर्दै
Dubai mukhya kalakar haru ek-arkalai herera maya-lu para ma hasdai romantic huadai abhineta ley abhinetri lai paxadi bata angalo halyo,दुवै मुख्य कलाकारहरू एकअर्कालाई हेरेर मायालु पारामा हाँस्दै रोमान्टिक हुँदै अभिनेताले अभिनेत्रीलाई पछाडिबाट अँगालो हाले।
"Due to the sunlight and backlighting on the camera, the bus and the people sitting on top of it appear silhouetted/black.",क्यामेरामा घामको र प्रकाशको कारणले बस र त्यसमाथि बसेका मानिसहरू कालो देखिएका छन्
"During the night, mostly white round paper lanterns are seen glowing in the foreground and background.",पूरै रातीको बेला अगाडि र पछाडिपट्टि धेरैजसो सेतो रङका गोलाकार पेपर ल्यान्टर्नहरू बलिरहेका देखिन्छन्।
Eating,खाँदै
Eauta dari junga fuleko keto,एउटा दाह्री जुँगा फुलेको केटो
Eauta sano hotel,एउटा सानो होटल
"Eauta sano hotel jaha table, fridge dekhna sakinxa","एउटा सानो होटल जहाँ टेबल, फ्रिज देख्न सकिन्छ"
Eauta varkhar ko yuba,एउटा भर्खरको युवा
Ek jana yuwa motorbike ma baseko,एक जना युवा मोटरसाइकलमा बसेको
Ek pack raksi ghampye hanera keto mukh bigardai,एक पेग रक्सी घ्याम्प्याएर केटोले मुख बिगार्दै
Ekdam khusi ra hasilo expression ka sath uni hiddai gareko,एकदम खुसी र हँसिलो अभिव्यक्तिका साथ उनी हिँडिरहेको
