clip_id,annotation_id,subject_english,action_english,background_object_english,note_english,submitted_at,user_id,task_id
clip_26,annotation_26,Boys wearing Magar attire,Playing the damphu while singing in hand,Courtyard of the house,,2026-06-04 12:28:10.268799,5,c185f749ee534b2181bf37214359320b
clip_27,annotation_27,Earthenware pots traditionally made of clay on the mud floor,A boy is teasing and having fun with a girl who is wearing a nose pin,Traditional wooden and stone structures with a bamboo fence and a pumpkin vine hanging on them,,2026-05-29 18:12:09.512067,5,92c12f7319d240e0b8cbaab72860401d
clip_28,annotation_28,A man in a thick brown coat standing on top of a wooden house.,"A man hammers nails on the wooden roof. Distracted by a beautiful girl, he accidentally hits his own hand with the hammer.",It is very cold and foggy.,,2026-05-29 19:17:59.812272,5,752795ae36e94e56bee77050b4b8e2c4
clip_29,annotation_29,Some people are sitting on the porch of the house while others are standing,A boy and a girl dance with their hands on each other's chests,Maize and tuki straw hanging on the walls around the big courtyard,,2026-05-29 10:29:58.231441,5,ce37b6ce3a604fdb9aecac2875096b68
clip_30,annotation_30,People,People are eating,Cars are there,,2026-06-04 12:47:03.412126,7,b6a8b58064a04d069fc239f658697a10
clip_31,annotation_31,A man dressed in traditional Newari attire with a red scarf.,Singing and dancing.,"Women in Newari dress, men in dhaka topis playing the sarangi and madal, and bundles of straw.",,2026-06-12 11:13:39.223896,4,b5c1d0fa3503442f87517e8446a68db2
clip_32,annotation_32,A modern girl wearing short clothes,Dancing while facing the camera,Red bricks roofing covered above and supported by many white pillars,,2026-06-12 10:05:42.102747,5,75896b418e624dae9bad51b2df5b1f6e
clip_33,annotation_33,A boy and a girl,A boy and a girl dancing holding hands,A doko (basket) and background dancers are there,,2026-06-03 17:59:18.925621,7,138d029c3fe147ad9dc6f144364d1a0c
clip_34,annotation_34,"A beautiful girl wearing a cholo with blue flower print, green bangles on her wrists, a headband on her head and a kantha shawl around her neck",The heroine is sitting in front of the camera doing acting according to the mood of the song,"This video was shot inside an indoor studio set, where there is a very shiny and plain blue wall at the back.",,2026-06-12 07:26:12.030853,5,54bec2e16f624de98db02140ab79ccde
clip_35,annotation_35,"Old houses made of stone, mud, wood and tin",Saying goodbye while offering khada,Huge snowy mountains and tall mountains,,2026-06-04 17:57:36.750179,5,03b07804aa584acb974b194fc20f2fdd
clip_36,annotation_36,A boy wearing dark blue jeans and a white full-sleeves shirt standing on a cliff of the mountain,Seeing the beautiful scenery the boy spreads his arms and places them on his head,The tall green mountains look covered by fog,,2026-06-12 20:39:11.631672,5,c49755f06bf144afa6ea60653f53122c
clip_37,annotation_37,A young youth,A boy gulps a pack of alcohol and makes a face,A small drinking hall,,2026-06-04 18:25:36.470990,5,aaa38871ba824ede99223bb004f020ed
clip_38,annotation_38,A Nepali young man and woman,"Putting flowers on the head, laughing","Rain, sky",,2026-06-05 10:19:32.850678,4,015b9206d0f740f7b67b3ebc0885178f
clip_39,annotation_39,People busy preparing for some festival,People are seen dancing in a circle,Green grass seen on the field,,2026-06-02 15:35:34.849838,5,21509ef0339a4e0a874bac7cd08e8312
clip_40,annotation_40,Book,The boy is turning the pages of the book,Wall,,2026-05-30 05:20:51.815773,7,b591be5633954056922a7cb5e48bb346
clip_41,annotation_41,Boy,The boy is walking,Snow,,2026-06-04 12:12:12.254441,7,ecd2eacfea3545779f55e9dfba8a084a
clip_42,annotation_42,Tall mountains,The scene is changing,Clouds above the Himalaya,,2026-06-04 17:55:11.175011,5,cc2db378a1034e72b189d1e91af4a763
clip_43,annotation_43,"A youth wearing a blue shirt over a white shirt, with a headscarf tied around his head","A blue butterfly lands on the youth's hand, and the youth then blows it away softly from his mouth, making the butterfly fly off","A view shot from a high place. In the background, tall mountains and some people's settlements (houses) are visible on the hills",,2026-06-12 12:48:27.293903,5,559f396f34014cab8563db2e0cb32577
clip_44,annotation_44,A modern girl barefoot on a brick platform in front of a stupa,dancing,Behind is a white stupa. On the top and middle of the stupa there is a golden statue and a pinnacle. There are many stairs to climb the stupa.,,2026-06-12 10:09:29.157360,5,3f3ebc3638b142f2a6f782ff39b7de52
clip_45,annotation_45,Boys and girls wearing clothes of different colors,The boys and girls are dancing while waving their hands,In the background the pillars of the house decorated with yellow flowers,,2026-06-02 08:03:25.835580,5,f3a9a61cde034e16b8ce37caf4ab9a3b
clip_46,annotation_46,A girl in a green feka-colored saree looking very beautiful,"The girl is seen holding the boy's hand, pulling him, and both dancing together","In the background, a sayapatri garland hung as for Tihar, and a yellow lamp burning",,2026-06-02 07:53:15.614201,5,be34aac1f81c4db5bcfed6ec5c7e5058
clip_47,annotation_47,A square-shaped TV placed on a table and a girl in front of it,A girl sitting in front of that TV talking about the Gen-Z movement,A black wall,,2026-06-14 15:20:47.523304,1,0920ff34ef0d4c678c868571dd789b13
clip_48,annotation_48,"A girl wearing a green sleeveless top and a colorful, skirt-like casual modern dress. She is also wearing a beaded cultural necklace (mala).","The girl, standing near that fence and looking at the camera, laughing happily, fixing her hair, and shyly swaying to the rhythm of the song, is visible.","At night, many white round paper lanterns are seen glowing in front and behind.",,2026-06-12 13:04:44.544259,5,a9af1737a18b451dacd255eedbcc1f41
clip_49,annotation_49,"Many people wearing traditional Nepali attire (daura-suruwal, vest, dhaka topi, and gunyu-cholo)","People are seen carrying doko baskets, winnowing with supo, and arranging straw","The village's traditional look and houses made of stone and mud, doko baskets and corn hanging at the eaves, and green hills and cornfields visible in the upper part",,2026-05-29 16:25:57.153986,5,ece87d1bc4584417a8e7f2f48848afd0
clip_50,annotation_50,"A handsome boy wearing a shiny blue chuba, black pants, glasses, and a Kipat (traditional belt) tied around his waist",Energetically lip-syncing and dancing while touching his chest with his hand and gesturing toward the mountains,"The scene shows an old house made of stone and mud with its collapsed roof, where a few Buddhist flags are also hung. Behind, there are bare mountains and an open sky with white clouds.",,2026-06-12 16:18:48.523553,5,ebcecae8cca04c98af0bda562777066d
clip_51,annotation_51,"Three youths, one of whom in the front is holding a cigarette","One youth is rolling a cigarette, while the other youths stand beside him looking downward",An indoor party-like place with brick walls and colorful lights,,2026-07-11 05:10:56.296659,4,b4b018af507c45af8ed954951c671ab8
clip_52,annotation_52,one youth,eating,"door, rain",,2026-06-05 10:05:16.368539,4,f205d27f004f44488383dbb460ac4934
clip_53,annotation_53,a young man and two dogs,sitting with the dogs,"road, house, dogs",,2026-06-05 10:25:23.256387,4,1ce641cef5f74030bc6116ae3ef81ba4
clip_54,annotation_54,"A group of girls wearing cholo in black and gold, colorful printed guniu, yellow patuka at the waist, and blue and red shawls draped over their shoulders.","All the girls raise both hands up and sway their hips smoothly in time with the song's cheerful rhythm, dancing together as a group.",Some people can be seen standing in the background.,,2026-06-12 08:32:20.983321,5,9fe54b1c20c340b99273b529eb544aa5
clip_55,annotation_55,The boys are wearing blue and red poshak (costumes) while the girls are wearing colorful traditional guniu-cholo.,They are all lined up at the top of the stage and the male dancers are carrying their female co-performers on their backs.,"On top of a big stone stage, large traditional village houses with thatched roofs are visible, and in the middle a small temple of similar shape can be seen.",,2026-05-29 17:35:37.569105,5,909b80f5f6a24254870fa8d240d2c89b
clip_56,annotation_56,boys and girls,boys and girls are hugging,there is an ocean,,2026-06-04 12:06:32.802458,7,7d341e08553a4d668d8aa10243da5387
clip_57,annotation_57,many people wearing Nepali dress,"The girls and boys on the left and right are pounding rice in a mortar with a pestle, while the two in the middle are playfully teasing each other.",a doko (woven basket) can be seen hanging from the pillar of the traditional village house,,2026-05-29 16:33:54.422600,5,83cbf4185d8a44c6bef2c392e28c727d
clip_58,annotation_58,"A boy in a thick brown jacket, a muffler wrapped around his neck, and long hair.","As the girl says something to him, the boy signals 'no' by shaking his head.",A large moss-covered rock.,,2026-06-01 10:57:59.181652,5,b1f2b780aedb42b7bbd0a26b120f41d0
clip_59,annotation_59,The girl is wearing a red saree and blouse while the boy is wearing a coat and trousers,The two of them were giving a romantic pose in the middle of the mustard field while shooting,The scene looks very tempting as yellow mustard flowers have bloomed all around,,2026-06-12 07:16:53.211031,5,df7ab18d65194eedb6011fbbb0f2464e
clip_60,annotation_60,a young woman wearing a modern dress can be seen standing at the top of the stairs,she is dancing with her arms spread out,There is an open courtyard of a monastery-like artistic building where a white marble staircase adorned with a lion statue and railing can be seen,,2026-06-12 10:19:49.062137,6,ba29b2c191b24be2809a455d2b9c7827
clip_61,annotation_61,a Nepali young man and woman,"moving around, looking","corn stalks, a pipal tree, the sky, a river",,2026-06-05 10:15:53.566844,4,1e608179ef9f49288a5c3b58706359d5
clip_62,annotation_62,"A beautiful girl with a red tika, earrings, kohl-lined eyes, a red cholo, and braided hair.",Holding a red rhododendron flower in her hand while wearing a very sad expression.,"The background is blurred and not much is visible, but a cart road winding through the hills can be seen.",,2026-06-12 08:09:19.040622,5,fc56054b98014c9fa61625e39a8e8d35
clip_63,annotation_63,a doko (woven basket),dancing while placing it on the head,family members sitting,,2026-05-30 05:15:32.858460,7,6785e7a43c3d44b0a713edaa3280b0e6
clip_64,annotation_64,one woman and one man,dancing,"house, sky covered with blue clouds",,2026-06-12 10:41:50.399737,4,9556bb7b962c41b0a6fb986b4f9acd55
clip_65,annotation_65,a few people inside the hotel,asking the hotel owner/manager for a glass of local alcohol,a small hotel where table and fridge can be seen,,2026-06-04 18:20:28.937807,5,339ce26468804678a1148851adc57ac3
clip_66,annotation_66,a woman with loose black hair wearing a modern outfit,dancing while smiling,"the white structure of the Lumbini World Peace Pagoda, and right behind it a golden upright Buddha statue carved with Buddhist script",,2026-06-12 10:13:50.704754,6,fbebf9e86d884102a5b1c79b1ea18adc
clip_67,annotation_67,people,a boy looking at a girl and laughing,there are baskets,,2026-06-03 17:57:25.086977,7,2ccd2a57d0304bc3b29fadcee9e5028c
clip_68,annotation_68,a young man,"jumping, running","a cloudy sky at night time with the moon visible, rain",,2026-06-05 10:23:20.274325,4,b9f867f35f89472f9817093c5b150c1d
clip_69,annotation_69,A beautiful girl wearing a red sari and large earrings.,"On seeing the beautiful girl, the boy is filled with joy.","Yellow lights glow in the background, as during the Tihar festival.",,2026-06-02 07:43:39.997981,5,dc68860759c94412afd807ca911f491c
clip_70,annotation_70,a young man,"eating, holding the roots","a door, tree roots",,2026-06-05 10:06:02.660841,4,7b00d3d656584c35ac169d9eaf7dcaf6
clip_71,annotation_71,some people sitting in front of their house and a boy and girl seen on the road,a boy in a red coat shaking a khada while the girl in a blue blouse and red saree fixes her hair,the door of the red mud house is closed,,2026-05-29 09:58:23.389104,5,558f951ab73c4557a428512cf20b6514
clip_72,annotation_72,a girl in a red saree and a boy with blue hair and a sunflower ornament in his ear,the boy playing the damphu,the mustard in the mustard field has bloomed,,2026-06-04 12:20:15.567323,5,44e562c9a5d143ad8368ca4af17e3272
clip_73,annotation_73,"a boy wearing a blue half jacket, full sleeves, pants and shoes",dancing happily in his own mood without caring about others,a house built of bricks with many wooden beams,,2026-06-04 18:17:54.954970,5,ecd8f42bb2f041978df6c5e52c314a22
clip_74,annotation_74,"a small scooter, a white dog and a young boy",riding the scooter happily with the dog kept in the scooter's basket,a small street of the city,,2026-06-04 18:28:56.316849,5,d5db109f91b8431393bf57c2b67f6f88
clip_75,annotation_75,boy and girl,boys and girls dancing,background dancer,,2026-06-04 12:42:24.480576,7,718c94e093b6442d8af952e8f583bc85
clip_76,annotation_76,people in thick clothes and worn dark heavy boots at the edge of a pond,one boy and girl seen walking near the edge of the pond carrying a machete and the girl washing her hands in the pond after placing the machete down,a pond in front of big tall green trees,,2026-06-01 11:04:51.921678,5,dbb3b56b7ed64023ad5e6df92e6503dd
clip_77,annotation_77,the actor and actress are shown in the frame in a casual modern look,the actress is enjoying seeing a dove flying while the actor is walking up from behind,the background looks like a big market place where clothes are kept for sale,,2026-06-12 08:03:55.187696,5,3a921fe18ce24c5cb6c3e4a22fc0ee00
clip_78,annotation_78,"a young man with long hair, a red shirt and blue jeans below.","a young man meditating on a big rock, looking toward the village below, singing a song emotionally",all around large green mountains and at the foot small houses like a small village visible,,2026-06-12 20:44:28.027794,5,cc4130450f7147d8a679219c2862fb65
clip_79,annotation_79,A brown-colored chair placed on a dry grass field,A girl wearing kurta-suruwal walking,Colorful flags hung around the trees,,2026-06-04 12:22:29.296873,5,2ec9b3257f62401bb79417944cb80e40
clip_80,annotation_80,Wearing a shiny western outfit,A beautiful girl turning back with her hair flowing,A car in front of a blue-colored backdrop,,2026-06-04 12:44:48.555932,5,f282c35ef161461a855c1a31834e83e1
clip_81,annotation_81,A woman and a man,dancing,"a red-colored house, blue sky",,2026-06-12 10:42:39.876429,4,2aef93b517184554b0d3464d16bcec7f
clip_82,annotation_82,A Nepali youth wearing torn clothes,lying down,a small boy in underwear doing the sweeping,,2026-06-05 09:52:16.252067,4,7521076996534aaaa3e12a55244ef4d4
clip_83,annotation_83,A young man,eating,"a room, clothes hung",,2026-06-05 10:29:08.060291,4,539330cdfefc4ba9b2b374dd02051a46
clip_84,annotation_84,"The girls wore black-golden cholo, a colorful printed guniu, a yellow patuka, and a blue/red cultural shawl, while the boys wore well-pressed modern print outer/shirt and white trousers","All the boys and girls, standing in a line, happily raising their hands up and swinging their waists and having fun",Everyone dancing in the courtyard in front of some old house or temple,,2026-06-12 09:35:44.467116,5,76a44c24010c4d23a5a17479f2289e00
clip_85,annotation_85,Boys wearing Magar attire sitting with bent knees in the courtyard,singing songs while playing the dhamphu and madal,A big courtyard in front of a traditional house,,2026-06-04 12:38:06.338359,5,362f585334ab4ff2b82bf4ecc4ac94f8
clip_86,annotation_86,Boys and girls inside a traditional resting place made of wood,looking at each other in a romantic way inside the resting place,"It is the middle of the night all around, where there is an open field and bright white paper lanterns can be seen glowing in the back row",,2026-06-12 13:19:21.690789,5,cddc97f1643e4e258bab5b18ee7f8a6d
clip_87,annotation_87,Boy and girl,The boy is hugging the girl,Snow,,2026-06-04 12:12:57.415006,7,4568ea3534fc49f68f25bee7fc1b6b45
clip_88,annotation_88,A dirt road amidst old houses made of wood and stone,A Bolero car carrying people going along the dirt road,Beautiful snow-capped mountains,,2026-06-04 12:48:20.821378,5,d647ad22bc15455eb98970d131dfb1cb
clip_89,annotation_89,"One Nepali youth as the main character wearing a Nepali dhaka coat and a waist belt (patuka), while behind him other young artists wearing similar attire and a dhaka topi appear in supporting roles",They are performing a traditional Nepali dance with enthusiasm,An open space with old brick walls where a crowd of many people is present,,2026-06-12 09:33:54.157489,6,ed26d4bfb6c343aa940652e413bb0f05
clip_90,annotation_90,A woman and a man,both dancing hand in hand,"brick walls and a sloping mud floor, blue sky",,2026-06-12 10:32:28.959876,4,563f47caa8134df89f0ab85cc17676c0
clip_91,annotation_91,Little children,forming a group and playing Pokemon cards,At the edge of a house or some dwelling place,,2026-06-04 18:14:56.813597,5,7552fe2a42914eeda38a69042912260f
clip_92,annotation_92,girl,carrying a load of hay and walking along,Trees,,2026-06-03 18:03:38.805916,7,81a73db768634da3b25b02077fd3e28a
clip_93,annotation_93,"a pretty girl wearing a nose ring, a necklace of beads around the neck, and a shawl, with red cheeks","the pretty girl coyly flirting, smiling at her face, holding a broom in her hand",a frame made of wood,,2026-06-01 11:16:30.884574,5,55f0422777cf42b08191abbf315b1010
clip_94,annotation_94,young Nepali youths in Magar dress,dancing in a lively frenzy,green grass meadow under sunlight with mountains visible in the background,,2026-06-03 17:11:07.089352,5,b3b0d3d7690e40c088231be5ba75afd2
clip_95,annotation_95,"A smiling young woman adorned in traditional Nepali jewelry and a red choli with a green fariya, and a young man in an embroidered waistcoat over a white shirt.","Joyfully synchronizing their hand gestures, they are fully immersed in a traditional Nepali folk dance.","Rural Nepali houses glowing in soft night light, with spectators enjoying the dance.",,2026-06-04 18:36:59.147762,6,c67a6e3de14c4de9bdbdeaff6bbd1499
clip_96,annotation_96,cycle,girls dancing,green trees,,2026-05-30 05:12:19.423685,7,b2c4a130c70f4d088b61a3393b0b61a5
clip_97,annotation_97,"a small dried branch stuck in the riverbed gravel, and some artists dressed in sarees can be seen",dancing about in the riverbed gravel,a dry river and sandy riverbed at the foot of a tall mountain,,2026-06-12 07:11:32.748838,5,ce2e98c1e08e476ea6666af292a74e6f
clip_98,annotation_98,two people in hill clothing,"while a beautiful woman sits on a stone petting a small goat saying mash shhh di, a man stands swinging a stick and chatting",a big round stone and a mountain visible behind,,2026-05-29 19:41:48.012408,5,9acbf24d22c249e0b78efa75bb7e2fbf
clip_99,annotation_99,a young man with a beard standing in front wearing black clothes and a white scarf,the young man holds a cigarette near his mouth and flicks it.,like an outdoor party place at night with lights strung on ropes and colorful streamers visible,,2026-07-11 05:12:18.250147,4,10c77c33e9a246b489952e3fbba25672
clip_100,annotation_100,"everyone is wearing red, blue and black dresses, while the person in the middle wears black, red and faded green",all the people turn toward the camera and dance for the shoot,traditional village mill house courtyard and wooden pillars visible in the background,,2026-05-29 16:41:45.296526,5,16313657abc54c489c495cfe0b952cd9
clip_101,annotation_101,girl,girl walking and singing a song,Trees,,2026-06-04 12:10:05.789566,7,fb4b1eae54e141cf947f66dc64542d57
clip_102,annotation_102,"a man with a beard and wiry, fuzzy hair",with his hands on his waist and in deep thought,a cassette shop or studio with old movie cassettes and posters,,2026-06-04 18:12:48.126690,5,c5f3a1e5c6f34a6a9adbdf897fb77e72
clip_103,annotation_103,boys and girls,boys and girls dancing with raised legs,it is written buddy,,2026-06-04 12:42:00.199444,7,7b9d2797ac9d4949a54ca1891b3fc0fe
clip_104,annotation_104,a bike,a girl is riding the bike and a boy is sitting behind her,a big gate with colorful streamers,,2026-05-30 05:08:26.424253,7,33e3da53f85a49d496564b159b001ec5
clip_105,annotation_105,One Nepali woman,Looking up,"Mountain, clouds, tree, waterfall",,2026-06-05 10:08:31.230621,4,52f574a565724712af23706ff0ffa3e4
clip_106,annotation_106,"Everyone wears traditional Nepali dress, while the boy in the middle is seen in modern attire (jeans and boots).","Everyone is seen doing the same dance step, moving hands and feet in time with the song.",A vast expanse of green hills with a small settlement can be seen behind them.,,2026-06-12 09:56:45.407051,5,985348f747d140f5a29b501b350060de
clip_107,annotation_107,A boy with messy hair and beard,The boy is looking at himself in a mirror reminiscing about his childhood,An indoor scene showing a mirror,,2026-06-04 18:01:40.085051,5,f55be94b8a984aec912f3bd85a563d1c
clip_108,annotation_108,"A boy and girl can be seen from directly above; the girl wears skimpy clothing, while the boy wears pants, shoes, a shirt, and a cap.",Both look up toward the camera from below while doing a few dance steps.,Flat structures built of brick and cement can be seen behind them.,,2026-06-12 10:02:39.595739,5,295362a40d43404a9ad860f464ea1bf5
clip_109,annotation_109,Girls can be seen wearing red and yellow choli together with Nepali jewelry,While the girls are dancing, boys can be seen coming to dance along with them,,2026-05-29 16:50:03.238725,5,192daba6c0b448988695a3cdf2e569bb
clip_110,annotation_110,Boy and girl,Are dancing,There is a wall and background dancers are sitting,,2026-06-03 17:50:41.597035,7,860a0b53820447b6b2cab552b190f30d
clip_111,annotation_111,A young man,Sitting feeling dejected,Dark atmosphere,,2026-06-05 10:20:45.651288,4,3a49919b16c9422089aac0d0ac29f48b
clip_112,annotation_112,A girl dressed in warm clothes because of the cold.,A girl in a red sweater walks along carrying wool in a basket.,"It is foggy and cold all around, and there is a wooden house.",,2026-05-29 19:10:01.982837,5,91e5006d52d24ac1a6121f1e71745ec9
clip_113,annotation_113,"In the foreground, a boy in a black coat and white shirt stands beside a girl dressed in black.","The boy spreads his arms as if dancing while looking at the girl, and the people around them are also enjoying themselves.","An indoor party-like venue is visible, with graffiti and decorations on a brick wall behind them.",,2026-07-11 05:05:03.980825,4,009f0441f93f4ea69af213080b983edc
clip_114,annotation_114,A young man,Looking around,A wall with drawings painted on it,,2026-06-05 10:01:57.455032,4,8d094d9a342e461a9427526787bb01dd
clip_115,annotation_115,A young man,Laughing,"Wall, outdoor atmosphere",,2026-06-05 10:02:39.369214,4,6c94f811833045f39aa992ec2b47fd31
clip_116,annotation_116,Boy,Boys are walking,There are houses,,2026-06-04 12:46:13.745847,7,3382059180ff4489a6a0d8677857ae31
clip_117,annotation_117,Some guests staying at a hotel,A young man jokingly opening a bottle as if forcefully and making a face,A small hotel,,2026-06-04 18:22:17.304883,5,1d403d3c4eb64f8784a21ed6fa0d4f41
clip_118,annotation_118,"A lead singer wearing glasses and holding a guitar in his hand. Beside him, traditional Dhime drumming girls (in red Dhime costumes with cloth tied on their heads) and an eye-catching Lakhey dancer wearing a terrifying Lakhey mask (traditional Newari mask)","While the singer energetically holds the guitar and lip-syncs, the Lakhey dancer and the Dhime drumming girls sway to the song's special rhythm, performing a dynamic cultural dance.","Behind, there is a red-brick house and a wooden railing. Colorful flags and ribbon-like long cloths are seen hanging.",,2026-06-12 12:35:15.381221,5,f9fbf691f8dc4bc6bc628730e4edd138
clip_119,annotation_119,People standing on the road and a boy wearing a red istagot coat and a red flower in his ear,People walking on the road and some boys smoking and having fun,An old mud house,,2026-05-29 09:50:20.045320,5,7f67504f3c4346c68bc40f3bf7af697d
clip_120,annotation_120,A girl,The girl is running,There is a tree,,2026-06-04 12:09:47.870930,7,1a269575f9954603b52486a0f9ed6082
clip_121,annotation_121,"Sirbandi, dhaka topi, daura suruwal",Dancing in traditional clothes with hands raised,It is dark and a small light is burning,,2026-05-30 05:18:52.112339,7,8b9f2e7608864d45bb27dd6bbea725e1
clip_122,annotation_122,A boy and a girl,The girl is placing her hand on the boy's shoulder,There is a sea,,2026-06-04 12:07:50.928659,7,a1a2a8ba551d4ab093bdfa17fa445199
clip_123,annotation_123,"Many youths, some of whom have guns in their hands","Raising guns in their hands, dancing together and having fun","A party-like indoor place with brick walls, colorful flags, star-shaped lights, and decorations",,2026-07-11 05:10:08.702212,4,66029b23ca6d42ae905cf1cb0a101b52
clip_124,annotation_124,A man,Keeping a foot on the wall while waving hands,A brick-plastered wall,,2026-06-12 10:35:22.891226,4,87725d36abb544ada0fee5f3ae98244b
clip_125,annotation_125,A big crowd of people gathered to watch the dance,Dancing with hands on the waist,"On all sides, traditional houses made of mud, wood, stone, and bricks.",,2026-06-12 09:43:27.306345,5,f7b41592671e4c33b781edc02dafeab0
