English,Arabic
A man skis past another man displaying paintings in the snow .,رجل زحف الماضي رجل آخر يعرض اللوحات في الثلج.
A person wearing skis looking at framed pictures set up in the snow .,شخص يرتدي الزلاجات ينظر إلى الصور المؤطرة التي تم إعدادها في الثلج.
A skier looks at framed pictures in the snow next to trees .,ينظر المتزحلق إلى صور مؤطرة في الثلج بجوار الأشجار.
Man on skis looking at artwork for sale in the snow,رجل على الزلاجات ينظر إلى الأعمال الفنية للبيع في الثلج
A collage of one person climbing a cliff .,مجموعة من شخص واحد يتسلق جرف.
A group of people are rock climbing on a rock climbing wall .,مجموعة من الناس يتسلقون الصخور على جدار تسلق الصخور.
A group of people climbing a rock while one man belays,مجموعة من الناس يتسلقون صخرة بينما رجل واحد يحمل
Seven climbers are ascending a rock face whilst another man stands holding the rope .,سبعة متسلقون يصعدون وجهًا صخريًا بينما يقف رجل آخر يحمل الحبل.
Several climbers in a row are climbing the rock while the man in red watches and holds the line .,العديد من المتسلقين على التوالي يتسلقون الصخرة بينما الرجل في الساعات الحمراء ويحمل الخط.
A brown dog chases the water from a sprinkler on a lawn .,كلب بني يطارد الماء من رشاش على العشب.
a brown dog plays with the hose .,كلب بني يلعب مع الخرطوم.
A brown dog running on a lawn near a garden hose,كلب بني يركض على حديقة بالقرب من خرطوم الحديقة
A dog is playing with a hose .,كلب يلعب مع خرطوم.
Large brown dog running away from the sprinkler in the grass .,كلب بني كبير يهرب من الرش في العشب.
A dog prepares to catch a thrown object in a field with nearby cars .,يستعد كلب للقبض على جسم ألقاه في حقل مع سيارات قريبة.
A white dog is about to catch a yellow ball in its mouth .,كلب أبيض على وشك التقاط كرة صفراء في فمه.
A white dog is about to catch a yellow dog toy .,كلب أبيض على وشك التقاط لعبة كلب صفراء.
A white dog is ready to catch a yellow ball flying through the air .,الكلب الأبيض جاهز للقبض على كرة صفراء تطير عبر الهواء.
A white dog running after a yellow ball,كلب أبيض يركض بعد كرة صفراء
a black and white dog jumping in the air to get a toy .,كلب أسود وأبيض يقفز في الهواء للحصول على لعبة.
A black and white dog jumps up towards a yellow toy .,كلب أسود وأبيض يقفز نحو لعبة صفراء.
A dog leaps to catch a ball in a field .,يقفز كلب لالتقاط كرة في حقل.
A white dog is trying to catch a ball in midair over a grassy field .,يحاول كلب أبيض التقاط كرة في الجو على حقل عشبي.
The white dog is playing in a green field with a yellow toy .,يلعب الكلب الأبيض في حقل أخضر مع لعبة صفراء.
A child and a woman are at waters edge in a big city .,طفل وامرأة في ووترز إيدج في مدينة كبيرة.
a large lake with a lone duck swimming in it with several people around the edge of it .,بحيرة كبيرة مع بطة وحيد تسبح فيها مع عدة أشخاص حول حافةها.
A little boy at a lake watching a duck .,صبي صغير في بحيرة يشاهد بطة.
A young boy waves his hand at the duck in the water surrounded by a green park .,يلوح صبي صغير يده في البطة في الماء المحاطة بمتنزه أخضر.
"""Two people are at the edge of a lake , facing the water and the city skyline .""","""شخصان على حافة البحيرة ، في مواجهة المياه وأفق المدينة."""
"""A couple and an infant , being held by the male , sitting next to a pond with a near by stroller .""","""زوجان ورضيعان ، يحتجزهما الذكر ، جالسين بجوار بركة مع عربة تقع قريبة."""
A couple sit on the grass with a baby and stroller .,يجلس زوجان على العشب مع طفل وعربة.
A couple with their newborn baby sitting under a tree facing a lake .,زوجان مع طفلهما الجديد يجلس تحت شجرة تواجه بحيرة.
A man and woman care for an infant along the side of a body of water .,رجل وامرأة يهتمون برضيع على طول جانب جسم ماء.
Couple with a baby sit outdoors next to their stroller .,زوجان مع طفل يجلس في الهواء الطلق بجوار عربة الأطفال.
A black dog running in the surf .,كلب أسود يركض في الأمواج.
A black lab with tags frolicks in the water .,مختبر أسود مع علامات frolicks في الماء.
A dog splashes in the water,ينشق كلب في الماء
The black dog runs through the water .,الكلب الأسود يمر عبر الماء.
This is a black dog splashing in the water .,هذا هو الكلب الأسود يرش في الماء.
A man drilling a hole in the ice .,رجل يحفر حفرة في الجليد.
A man is drilling through the frozen ice of a pond .,رجل يحفر عبر الجليد المجمد لبركة.
A person in the snow drilling a hole in the ice .,شخص في الثلج يحفر حفرة في الجليد.
A person standing on a frozen lake .,شخص يقف على بحيرة مجمدة.
Two men are ice fishing .,رجلان صيد الجليد.
Two different breeds of brown and white dogs play on the beach .,تلعب اثنين من السلالات المختلفة من الكلاب البنية والبيضاء على الشاطئ.
Two dogs are making a turn on a soft sand beach .,كلابان يقومان بدوران على شاطئ رمل ناعم.
Two dogs playing in the sand at the beach .,اثنان من الكلاب يلعبان في الرمال على الشاطئ.
Two dogs playing together on a beach .,اثنان من الكلاب يلعبان معًا على الشاطئ.
Two large tan dogs play along a sandy beach .,اثنين من الكلاب تان كبيرة تلعب على طول شاطئ رملي.
A man uses ice picks and crampons to scale ice .,رجل يستخدم التقاطات الجليد وتشكلات تشفير لتوسيع الجليد.
an ice climber in a blue jacket and black pants is scaling a frozen ice wall .,يتسلق الجليد في سترة زرقاء وسروال أسود يقوم بتوسيع جدار ثلج متجمد.
An ice climber scaling a frozen waterfall .,متسلق الجليد تحجيم شلال مجمد.
A person in blue and red ice climbing with two picks .,شخص ما في الجليد الأزرق والأحمر يتسلق مع اثنين من اللقطات.
Climber climbing an ice wall,تسلق تسلق جدار جليدي
A black dog carries a green toy in his mouth as he walks through the grass .,يحمل كلب أسود لعبة خضراء في فمه وهو يمشي عبر العشب.
A black dog carrying something through the grass .,كلب أسود يحمل شيئًا من خلال العشب.
A black dog has a blue toy in its mouth .,الكلب الأسود لديه لعبة زرقاء في فمه.
A dog in grass with a blue item in his mouth .,كلب في العشب مع عنصر أزرق في فمه.
A wet black dog is carrying a green toy through the grass .,الكلب الأسود الرطب يحمل لعبة خضراء من خلال العشب.
A man and a baby are in a yellow kayak on water .,رجل وطفل في قوارب الكاياك الأصفر على الماء.
A man and a little boy in blue life jackets are rowing a yellow canoe .,رجل وصبي صغير يرتدي سترات النجاة الزرقاء يجديان زورق أصفر.
A man and child kayak through gentle waters .,رجل وطفل قوارب الكاياك من خلال المياه اللطيفة.
A man and young boy ride in a yellow kayak .,رجل وصبي صغير يركبان في قوارب الكاياك الأصفر.
Man and child in yellow kayak,رجل وطفل في كاياك الأصفر
A black dog and a brown dog are jumping up to catch a red toy .,كلب أسود وكلب بني يقفزون لأعلى لالتقاط لعبة حمراء.
A black dog and a brown dog play with a red toy on a courtyard .,كلب أسود وكلب بني مع لعبة حمراء على فناء.
A brown and black lab are outside and the black lab is catching a toy in its mouth .,المختبر البني والأسود في الخارج ويقوم المختبر الأسود بالقبض على لعبة في فمه.
Black dog snaps at red and black object as brown dog lunges .,يستقر الكلب الأسود في كائن أحمر وأسود كما يطعق الكلب البني.
The Chocolate Lab jumps too late to get the toy as the Black Lab captures it in the driveway .,يقفز مختبر الشوكولاتة بعد فوات الأوان للحصول على اللعبة حيث يلتقطها المختبر الأسود في الممر.
A boy with a stick kneeling in front of a goalie net,صبي مع عصا الركوع أمام شبكة حارس المرمى
A child in a red jacket playing street hockey guarding a goal .,طفل في سترة حمراء يلعب لعبة الهوكي في الشوارع يحرس هدفًا.
A young kid playing the goalie in a hockey rink .,طفل صغير يلعب حارس المرمى في حلبة في الهوكي.
A young male kneeling in front of a hockey goal with a hockey stick in his right hand .,رجل شاب يركع أمام هدف الهوكي مع عصا الهوكي في يده اليمنى.
"""Hockey goalie boy in red jacket crouches by goal , with stick .""","""حارس مرمى الهوكي في ريد سترة يربح من قبل الهدف ، مع عصا."""
A man in black is sitting next to a modern art structure in front of a glass building .,يجلس رجل باللون الأسود بجوار هيكل فني حديث أمام مبنى زجاجي.
A man sits and reads a newspaper by a sculpture outside of an office building .,رجل يجلس ويقرأ صحيفة من خلال تمثال خارج مبنى المكاتب.
a man sits near a large statue .,رجل يجلس بالقرب من تمثال كبير.
A man sitting in front of a metal sculpture in front of a building .,رجل يجلس أمام تمثال معدني أمام المبنى.
The man with the backpack is sitting in a buildings courtyard in front of an art sculpture reading .,يجلس الرجل الذي يحمل حقيبة الظهر في فناء المباني أمام قراءة النحت الفني.
A tent is being set up on the ice .,يتم إعداد خيمة على الجليد.
Two men are about to enter an ice fishing tent on a snow covered lake .,رجلان على وشك الدخول إلى خيمة لصيد الجليد على بحيرة مغطاة بالثلوج.
two men setting up a blue ice fishing hut on an iced over lake,رجلان يضعان كوخًا أزرق لصيد الأسماك على مثلج البحيرة
"""Two men , standing on an ice , looking into something covered with a blue tarp .""","""رجلان ، يقفان على جليد ، ينظران إلى شيء مغطى بقنب أزرق."""
Two people standing outside a blue tent structure on a snowy surface .,شخصان يقفان خارج بنية خيمة زرقاء على سطح ثلجي.
A woman crouches near three dogs in a field .,امرأة تربى بالقرب من ثلاثة كلاب في الحقل.
Three dogs are playing on grassy hill with a blue sky .,ثلاثة كلاب يلعبون على هيل العشب مع سماء زرقاء.
Three dogs are standing in the grass and a person is sitting next to them,ثلاثة كلاب تقف في العشب والشخص يجلس بجوارهم
Three dogs on a grassy hill,ثلاثة كلاب على تل عشبي
Three dogs stand in a grassy field while a person kneels nearby .,ثلاثة كلاب تقف في حقل عشبي بينما يركع شخص قريب.
a man is standing in front of a skyscraper,رجل يقف أمام ناطحة سحاب
A man stands in front of a skyscraper .,يقف رجل أمام ناطحة سحاب.
A man stands in front of a very tall building .,يقف رجل أمام مبنى طويل القامة.
Behind the man in a red shirt stands a large skyscraper .,خلف الرجل في قميص أحمر يقف ناطحة سحاب كبيرة.
There is a skyscraper in the distance with a man walking in front of the camera .,هناك ناطحة سحاب في المسافة مع رجل يمشي أمام الكاميرا.
A boy bites hard into a treat while he sits outside .,صبي يعض بقوة في علاج أثناء جلوسه في الخارج.
A child biting into a baked good .,طفل يعض في خبرة خبز.
A small boy putting something in his mouth with both hands .,فتى صغير يضع شيئًا في فمه بكلتا يديه.
The boy eats his food outside at the table .,الصبي يأكل طعامه في الخارج على الطاولة.
The boy is eating pizza over a tin dish .,الصبي يأكل البيتزا على طبق القصدير.
People sit on the mountainside and check out the view .,يجلس الناس على جانب الجبل وتحقق من العرض.
Three people are on a hilltop overlooking a green valley .,ثلاثة أشخاص على قمة تل يطل على وادي أخضر.
Three people hang out on top of a big hill .,ثلاثة أشخاص يتسكعون فوق تلة كبيرة.
Three people overlook a green valley .,ثلاثة أشخاص يتجاهلون وادي أخضر.
Three people rest on a ledge above the moutains .,ثلاثة أشخاص يستريحون على حافة فوق Moutains.
A boy in a green shirt is looking down at many inflatable boats .,ينظر صبي في قميص أخضر إلى العديد من القوارب القابلة للنفخ.
A boy in a green shirt watches kayakers .,صبي في قميص أخضر يشاهد الزوارق.
A boy looks over a railing at the many boats and rafts below in the water .,ينظر صبي فوق درابزين على العديد من القوارب والطوافات أدناه في الماء.
A young boy overlooking a crowd of inflatable boats .,صبي صغير يطل على حشد من القوارب القابلة للنفخ.
A young boy wearing a jersey looks down over a ledge at many boats in the water .,صبي صغير يرتدي قميصًا ينظر إلى أسفل الحافة على العديد من القوارب في الماء.
A man and woman pose for the camera while another man looks on .,رجل وامرأة يطرحون للكاميرا بينما ينظر رجل آخر.
A man is holding the hand of a woman up to his mouth in front of some buildings while another man looks on .,رجل يمسك بيد امرأة حتى فمه أمام بعض المباني بينما ينظر رجل آخر.
A multiracial couple posing for a picture,زوجين متعدد الأعراق يظنان صورة
"""Asian man and blond woman holding hands outdoors , man in background watches .""","""رجل آسيوي وامرأة أشقر يمسكون في الهواء الطلق ، رجل في الساعات الخلفية."""
Guy in blue shirt biting hand of girl in black striped jacket while another guy watches,رجل في قميص أزرق يضرب يد الفتاة في سترة مخططة أسود بينما يشاهد رجل آخر
A person eats takeout while watching a small television .,شخص يأكل تناول الطعام في الخارج أثناء مشاهدة تلفزيون صغير.
A person sits on the floor and eats in front of a television .,شخص يجلس على الأرض ويأكل أمام التلفزيون.
A television with a picture of a girl on it .,تلفزيون مع صورة لفتاة على ذلك.
A young man sits on the floor by the television with a fast food meal in front of him .,شاب يجلس على الأرض بجانب التلفزيون مع وجبة الوجبات السريعة أمامه.
Someone is laying in front of the TV eating food .,شخص ما يضع أمام التلفزيون تناول الطعام.
a couple of several people sitting on a ledge overlooking the beach,زوجان من الناس يجلسون على حافة تطل على الشاطئ
A group of people sit on a wall at the beach .,مجموعة من الناس يجلسون على الحائط على الشاطئ.
A group of teens sit on a wall by a beach .,مجموعة من المراهقين تجلس على الحائط على الشاطئ.
Crowd of people at the beach .,حشد من الناس على الشاطئ.
Several young people sitting on a rail above a crowded beach .,العديد من الشباب جالسين على سكة فوق شاطئ مزدحم.
A boy takes a jump on his skateboard while another boy with a skateboard watches .,يأخذ صبي قفزة على لوح التزلج الخاص به بينما صبي آخر مع ساعات لوح التزلج.
A child is performing a skateboard trick while another child with a skateboard leans on a wall .,يقوم الطفل بإجراء خدعة لوح التزلج بينما يميل طفل آخر مع لوح تزلج على الحائط.
A little boy skateboarder is doing a trick on his board while another young skateboarder watches .,يقوم صبي صغير للتزلج بخدعة على لوحه بينما يشاهد شاب آخر لاعب التزلج.
a young boy skateboarder jumping on a platform on a skateboard .,صبي صبي تزلج يقفز على منصة على لوح التزلج.
Two skateboarders .,اثنين من لوح التزلج.
"""A girl paddling down a large river , as seen from behind her .""","""فتاة تتجول في نهر كبير ، كما يظهر من وراءها."""
A woman kayaking down a river .,امرأة التجديف في النهر.
A woman paddles a boat down a river .,امرأة تحجر قارب أسفل النهر.
A woman with a paddle .,امرأة مع مجداف.
A woman with a paddle sits in a boat on the water .,امرأة مع مجداف يجلس في قارب على الماء.
A girl in pigtails splashes in the shallow water .,فتاة في أسلاك التوصيل المصنوعة من المياه الضحلة.
A girls plays in the surf .,تلعب الفتيات في الأمواج.
a girl with pigtails is playing in the ocean by the beach .,فتاة مع أسلاك التوصيل المصنوعة تلعب في المحيط على الشاطئ.
A girl with pigtails plays in the water .,فتاة مع أسلاك التوصيل المصنوعة تلعب في الماء.
A young girl in pigtails plays in the water .,فتاة صغيرة في أسلاك التوصيل المصنوعة تلعب في الماء.
A group of four children wearing pajamas have a pillow fight .,مجموعة من أربعة أطفال يرتدون بيجاما لديهم معركة وسادة.
A group of kids have a pillow-fight .,مجموعة من الأطفال لديهم معركة وسادة.
A group of young children playing pillow fight on a bed .,مجموعة من الأطفال الصغار يلعبون وسادة على السرير.
Children having a pillow fight .,الأطفال الذين لديهم معركة وسادة.
Four children are having a pillow fight .,أربعة أطفال يعانون من معركة وسادة.
Two constructions workers sit on a beam taking a break .,يجلس اثنان من عمال البناء على شعاع يأخذ استراحة.
Two construction workers are sitting up on the side of a building .,يجلس اثنان من عمال البناء على جانب المبنى.
Two construction workers sitting on an I-beam .,اثنان من عمال البناء يجلسون على شعاع I.
Two construction workers take a seat on a steel beam .,اثنان من عمال البناء يشغلون مقعدًا على شعاع فولاذي.
Two men take a break from construction .,رجلان يأخذان استراحة من البناء.
The children are playing in the water .,الأطفال يلعبون في الماء.
"""Two boys , one with a yellow and orange ball , play in some water in front of a field .""","""ولدان ، أحدهما مع كرة صفراء وبرتقالية ، يلعبان في بعض الماء أمام أحد الحقل."""
Two boys play in a puddle .,اثنين من الصبيان يلعب في بركة.
Two children play with a balloon in mud on a sunny day .,طفلان يلعبان مع بالون في الوحل في يوم مشمس.
Two kids are running and playing in some water .,طفلان يركضان ويلعبان في بعض الماء.
A blond woman in a blue shirt appears to wait for a ride .,يبدو أن امرأة أشقر في قميص أزرق تنتظر رحلة.
A blond woman is on the street hailing a taxi .,امرأة أشقر في الشارع تشيد سيارة أجرة.
"""A woman is signaling is to traffic , as seen from behind .""","""المرأة تشير إلى حركة المرور ، كما يظهر من الخلف."""
A woman with blonde hair wearing a blue tube top is waving on the side of the street .,امرأة ذات شعر أشقر ترتدي قمة أنبوب أزرق تلوح على جانب الشارع.
The woman in the blue dress is holding out her arm at oncoming traffic .,المرأة في الفستان الأزرق تمسك ذراعها في حركة المرور القادمة.
A little girl looking at a brochure on train rides,فتاة صغيرة تنظر إلى كتيب على ركوب القطار
a young blond girl with a magizine in her hands,فتاة أشقر شابة مع ماجزين في يديها
A young girl on a train reads a book about train rides .,فتاة صغيرة في قطار تقرأ كتابًا عن ركوب القطار.
A young girl sits on a seat and looks at a train pamphlet .,فتاة صغيرة تجلس على مقعد وتنظر إلى كتيب القطار.
Child sitting down looking at train ride brochure,الطفل يجلس في كتيب ركوب القطار
A brown dog is running after a black dog on a rocky shore .,يركض كلب بني بعد كلب أسود على شاطئ صخري.
A brown dog is running after the black dog .,الكلب البني يركض بعد الكلب الأسود.
Two dogs playing on a beach .,اثنان من الكلاب يلعبان على الشاطئ.
Two dogs run across stones near a body of water .,يركض كلابان عبر الحجارة بالقرب من جسم ماء.
Two dogs run towards each other on a rocky area with water in the background .,يركض اثنان من الكلاب نحو بعضهما البعض على منطقة صخرية مع الماء في الخلفية.
A boy descends off the end of a high diving board .,صبي ينحدر من نهاية لوحة الغوص العالية.
A child jumps off a high diving board into the pool .,طفل يقفز من لوحة الغوص العالية في حمام السباحة.
A kid jumps off the diving board and into the swimming pool below .,يقفز طفل من لوحة الغوص وإلى حمام السباحة أدناه.
A little kid is jumping off a high dive at the pool .,طفل صغير يقفز من الغوص العالي في حمام السباحة.
The boy is jumping off a high diving board into the pool .,الصبي يقفز من لوحة الغوص العالية في حمام السباحة.
A guy stands by a window taking his overshirt off .,يقف الرجل بجانب نافذة يأخذ قميصه.
A man in a tank top stands next to a chrome door .,يقف رجل في قمة الخزان بجانب باب الكروم.
A man puts his shirt on near an elevator .,رجل يضع قميصه بالقرب من المصعد.
A man stands by an elevator with his head down .,رجل يقف بجانب مصعد ورأسه لأسفل.
The man is putting on his shirt near an elevator .,الرجل يضع قميصه بالقرب من المصعد.
A light-colored dog runs on the beach .,يركض كلب فاتح اللون على الشاطئ.
A small yellow dog runs on a beach,يركض كلب أصفر صغير على الشاطئ
A tan dog runs on a sandy beach .,يركض كلب تان على شاطئ رملي.
A white dog is running down a rocky beach .,كلب أبيض يركض على شاطئ صخري.
Light brown dog running along the beach .,كلب بني فاتح يركض على طول الشاطئ.
A boy in his blue swim shorts at the beach .,صبي في سراويل السباحة الأزرق على الشاطئ.
A boy smiles for the camera at a beach .,يبتسم صبي للكاميرا على الشاطئ.
A young boy in swimming trunks is walking with his arms outstretched on the beach .,صبي صغير في جذوع السباحة يسير مع ذراعيه ممدودة على الشاطئ.
Children playing on the beach .,الأطفال يلعبون على الشاطئ.
The boy is playing on the shore of an ocean .,يلعب الصبي على شاطئ المحيط.
A hiker standing high on a bluff overlooking the mountains below .,يتنزه على ارتفاع في خدعة تطل على الجبال أدناه.
a person on ski 's looks from hill over snow covered landscape,شخص ما في نظرات التزلج من التل فوق المناظر الطبيعية المغطاة بالثلوج
A skier is overlooking a snow-covered mountain .,يطل المتزلج على جبل مغطى بالثلوج.
A skier is overlooking the beautiful white snow covered landscape .,يطل المتزحلق على المناظر الطبيعية المغطاة بالثلوج الأبيض الجميلة.
A skier pauses on a mountaintop .,يتوقف المتزلج على قمة الجبل.
A black and white dog is attempting to catch a yellow and purple object in a low cut yard .,يحاول الكلب الأسود والأبيض التقاط جسم أصفر وأرجواني في ساحة منخفضة.
A black and white dog jumps after a yellow toy .,يقفز كلب أسود وأبيض بعد لعبة صفراء.
a black and white dog jumps to get the Frisbee .,يقفز كلب أبيض وأسود للحصول على الفريسبي.
A black dog is jumping up to catch a purple and green toy .,الكلب الأسود يقفز لأعلى لالتقاط لعبة أرجوانية وخضراء.
A dog jumps to catch a toy .,كلب يقفز للقبض على لعبة.
A man in blue shorts is laying in the street .,رجل يرتدي السراويل الزرقاء يقع في الشارع.
A man in blue shorts lays down outside in a parking lot .,رجل يرتدي شورتًا أزرق يضع في الخارج في موقف للسيارات.
A man laying down in middle of street during heavy traffic .,رجل مستلقي في منتصف الشارع أثناء حركة المرور الكثيفة.
A man lies on a mat in a parking lot between a brown SUV and a yellow pickup with an open door .,رجل يكمن على حصيرة في موقف للسيارات البنيين بين سيارة الدفع الرباعي البنية والاستقبال الأصفر مع باب مفتوح.
A shirtless man is laying down in the middle of a busy street .,رجل بلا قميص يضع في منتصف شارع مزدحم.
A white and black dog and a brown dog in sandy terrain .,كلب أبيض وسوداء وكلب بني في التضاريس الرملية.
A woolly dog chases a Doberman on a beach .,كلب صوفي يطارد دوبرمان على الشاطئ.
One dog is chasing another one on the beach .,كلب واحد يطارد واحد آخر على الشاطئ.
The two large dogs are running through sand .,الكلاب الكبيرة يركضان عبر الرمال.
Two large dogs chasing each other at the beach .,اثنين من الكلاب الكبيرة تطارد بعضها البعض على الشاطئ.
A black and white dog catches a toy in midair .,كلب أبيض وأسود يصطاد لعبة في الجو.
A dog and a tennis ball .,كلب وكرة تنس.
"""A dog is jumping to catch a object thrown at it ,""","""كلب يقفز لالتقاط جسم يتم إلقاؤه عليه ،"""
A dog leaps while chasing a tennis ball through a grassy field .,يقفز كلب أثناء مطاردة كرة تنس عبر حقل عشبي.
A multicolor dog jumping to catch a tennis ball in a grassy field .,كلب متعدد الألوان يقفز لالتقاط كرة تنس في حقل عشبي.
A crowd watching air balloons at night .,حشد يشاهد بالونات الهواء في الليل.
A group of hot air balloons lit up at night .,مجموعة من بالونات الهواء الساخن مضاءة في الليل.
People are watching hot air balloons in the park .,الناس يشاهدون بالونات الهواء الساخن في الحديقة.
People watching hot air balloons .,الناس يشاهدون بالونات الهواء الساخن.
Seven large balloons are lined up at nighttime near a crowd .,تصطف سبعة بالونات كبيرة في الليل بالقرب من الحشد.
A child with a helmet on his head rides a bike .,طفل مع خوذة على رأسه يركب دراجة.
A little boy rides a bike down a hill on a miniature dirt bike .,صبي صغير يركب دراجة أسفل تل على دراجة ترابية مصغرة.
A young boy in a helmet rides a bike on the road .,صبي صغير في خوذة يركب دراجة على الطريق.
The little boy rides his bicycle in a race .,الصبي الصغير يركب دراجته في سباق.
The young boy pedals quickly at a BMX race .,دواسات الصبي الصغيرة بسرعة في سباق BMX.
